,lumpSum_avg,npsf_avg,final_address,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2020-12-15,2484878.0,6941.0,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",2484878.0,6941.0,358.0,,0.08639849741743633,0.08639849741743633
2017-5-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2017-4-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2017-3-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2017-2-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2017-1-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2016-12-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2016-11-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2016-10-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2016-9-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2016-8-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2016-7-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2016-6-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2016-5-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2016-4-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2016-3-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2016-2-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,,,
2016-1-15,,,"HAPPY FRIEND BLDG,SAI KUNG TAI ST|歡愉大樓,西貢大街",,,358.0,358.0,,
