,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2022-12-15,33743996.329045266,26296.0,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",33743996.329045266,26296.0,1714.0,,0.20292812316810638,0.1988146797355823
2020-8-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2020-7-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2020-6-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2020-5-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2020-4-15,36876710.0,21515.0,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",36876710.0,21515.0,1714.0,,-0.07621296693860025,-0.07621296693860025
2020-3-15,39919060.0,23290.0,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",39919060.0,23290.0,1714.0,,-0.09486611480315577,-0.09486611480315577
2020-2-15,44102934.0,25731.0,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",44102934.0,25731.0,1714.0,,0.033788670148654054,0.033788670148654054
2020-1-15,42661460.0,24890.0,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",42661460.0,24890.0,1714.0,,-0.053468208092485536,-0.053468208092485536
2019-12-15,45071344.0,26296.0,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",45071344.0,26296.0,1714.0,,0.1988146797355823,0.1988146797355823
2019-11-15,37596590.0,21935.0,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",37596590.0,21935.0,1714.0,,-0.07677090786649265,-0.07677090786649265
2019-10-15,40722926.0,23759.0,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",40722926.0,23759.0,1714.0,,0.19182342613493852,0.19182342613493852
2019-9-15,34168590.0,19935.0,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",34168590.0,19935.0,1714.0,,,
2019-8-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2019-7-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2019-6-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2019-5-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2019-4-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2019-3-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2019-2-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2019-1-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2018-12-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2018-11-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2018-10-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2018-9-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2018-8-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2018-7-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2018-6-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2018-5-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2018-4-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2018-3-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2018-2-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,,,
2018-1-15,,,"COSTA BELLO(Block 15),HONG KIN RD|西貢濤苑15座,康健路",,,1714.0,1714.0,,
