,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,nfa_avg,lumpSum_change,npsf_change
2020-12-15,31756824.0,17468.0,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",27600876.0,15182.0,1818.0,35912772.0,19754.0,1818.0,,0.0,0.0
2017-12-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2017-11-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2017-10-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2017-9-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2017-8-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2017-7-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2017-6-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2017-5-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2017-4-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2017-3-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2017-2-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2017-1-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2016-12-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2016-11-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2016-10-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2016-9-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2016-8-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2016-7-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2016-6-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2016-5-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2016-4-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2016-3-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2016-2-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,,,
2016-1-15,,,"GOODVIEW GARDEN(Block A),STUBBS RD|豐景台A座,司徒拔道",,,1818.0,,,1818.0,1818.0,,
