,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,7781784.0,19073.0,1,7781784,19073,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",7781784.0,19073.0,408.0,-0.09956566896421493,-0.09956566896421493
2017-7-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2017-6-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2017-5-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2017-4-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2017-3-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2017-2-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2017-1-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2016-12-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2016-11-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2016-10-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2016-9-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2016-8-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2016-7-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2016-6-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2016-5-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2016-4-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2016-3-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2016-2-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
2016-1-15,,,1,,,408,"5 STAR STREET,STAR ST|5 STAR STREET,星街",,,408.0,,
