,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_B,npsf_B,nfa_B,lumpSum_BC,npsf_BC,nfa_BC,lumpSum_BE,npsf_BE,nfa_BE,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,11043962.833333334,21503.416666666668,12,132527554,258041,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",9367284.0,19156.0,489.0,23601408.0,24896.0,948.0,8836898.0,18842.0,469.0,22884238.0,24713.0,926.0,19960272.0,25722.0,776.0,11281761.0,24579.0,459.0,6327727.0,19117.0,331.0,5897777.0,19211.0,307.0,5994568.0,20116.0,298.0,5775674.0,20554.0,281.0,5823163.0,20723.0,281.0,6776784.0,20412.0,332.0,-0.17317571295554812,-0.17427144233138447
2019-1-15,12025879.416666666,23477.333333333332,12,144310553,281728,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",10575603.0,21627.0,489.0,26127828.0,27561.0,948.0,10396792.0,22168.0,469.0,25333508.0,27358.0,926.0,20339736.0,26211.0,776.0,11478672.0,25008.0,459.0,6614704.0,19984.0,331.0,6455903.0,21029.0,307.0,6852212.0,22994.0,298.0,6557978.0,23338.0,281.0,6500373.0,23133.0,281.0,7077244.0,21317.0,332.0,-0.0047077947840448164,-0.0046881348147888025
2018-12-15,12082762.583333334,23587.916666666668,12,144993151,283055,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",10626459.0,21731.0,489.0,26253912.0,27694.0,948.0,10448851.0,22279.0,469.0,25455740.0,27490.0,926.0,20438288.0,26338.0,776.0,11522277.0,25103.0,459.0,6647473.0,20083.0,331.0,6486603.0,21129.0,307.0,6885588.0,23106.0,298.0,6591136.0,23456.0,281.0,6532688.0,23248.0,281.0,7104136.0,21398.0,332.0,-0.0013948418133332696,-0.0013759283106069553
2018-11-15,12099639.666666666,23620.416666666668,12,145195676,283445,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",10642107.0,21763.0,489.0,26292780.0,27735.0,948.0,10466204.0,22316.0,469.0,25493706.0,27531.0,926.0,20469328.0,26378.0,776.0,11527785.0,25115.0,459.0,6658065.0,20115.0,331.0,6495506.0,21158.0,307.0,6896614.0,23143.0,298.0,6602376.0,23496.0,281.0,6543085.0,23285.0,281.0,7108120.0,21410.0,332.0,-0.06210200078850381,-0.06521667436184941
2018-10-15,12900805.5,25268.333333333332,12,154809666,303220,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11516439.0,23551.0,489.0,28453272.0,30014.0,948.0,11328226.0,24154.0,469.0,27589244.0,29794.0,926.0,20110040.0,25915.0,776.0,12462768.0,27152.0,459.0,7155889.0,21619.0,331.0,7076043.0,23049.0,307.0,7393976.0,24812.0,298.0,7053100.0,25100.0,281.0,7081481.0,25201.0,281.0,7589188.0,22859.0,332.0,-0.04902376897762528,-0.047343766199900106
2018-9-15,13565854.833333334,26524.083333333332,12,162790258,318289,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11771208.0,24072.0,489.0,29563380.0,31185.0,948.0,11771900.0,25100.0,469.0,28665256.0,30956.0,926.0,22555216.0,29066.0,776.0,12936456.0,28184.0,459.0,7488213.0,22623.0,331.0,7302302.0,23786.0,307.0,7724756.0,25922.0,298.0,7427392.0,26432.0,281.0,7358547.0,26187.0,281.0,8225632.0,24776.0,332.0,0.0999317677169409,0.09578745877314376
2018-8-15,12333360.333333334,24205.5,12,148000324,290466,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",10783428.0,22052.0,489.0,26234004.0,27673.0,948.0,10785593.0,22997.0,469.0,25947446.0,28021.0,926.0,20661000.0,26625.0,776.0,11838987.0,25793.0,459.0,6860306.0,20726.0,331.0,6735273.0,21939.0,307.0,7076904.0,23748.0,298.0,6805539.0,24219.0,281.0,6741752.0,23992.0,281.0,7530092.0,22681.0,332.0,-0.09390713636197556,-0.093868154082282
2018-7-15,13611585.333333334,26713.0,12,163339024,320556,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11975610.0,24490.0,489.0,29134884.0,30733.0,948.0,11979198.0,25542.0,469.0,28248556.0,30506.0,926.0,22942440.0,29565.0,776.0,13134285.0,28615.0,459.0,7619289.0,23019.0,331.0,7427251.0,24193.0,307.0,7859452.0,26374.0,298.0,7489493.0,26653.0,281.0,7487526.0,26646.0,281.0,8041040.0,24220.0,332.0,0.08131934856574552,0.08097280673357066
2018-6-15,12587942.083333334,24712.0,12,151055305,296544,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11071449.0,22641.0,489.0,26935524.0,28413.0,948.0,11076373.0,23617.0,469.0,26116904.0,28204.0,926.0,21208856.0,27331.0,776.0,12130911.0,26429.0,459.0,7044673.0,21283.0,331.0,6865748.0,22364.0,307.0,7266432.0,24384.0,298.0,6989875.0,24875.0,281.0,6922716.0,24636.0,281.0,7425844.0,22367.0,332.0,0.030322608359735215,0.030006425730709774
2018-5-15,12217476.333333334,23992.083333333332,12,146609716,287905,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",10787340.0,22060.0,489.0,26242536.0,27682.0,948.0,10793097.0,23013.0,469.0,25444628.0,27478.0,926.0,20641600.0,26600.0,776.0,11067867.0,24113.0,459.0,6864278.0,20738.0,331.0,6737422.0,21946.0,307.0,7080182.0,23759.0,298.0,6811721.0,24241.0,281.0,6745405.0,24005.0,281.0,7393640.0,22270.0,332.0,-0.046855754312184694,-0.030008894519089502
2018-4-15,12818077.0,24734.333333333332,12,153816924,296812,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",11124261.0,22749.0,489.0,29367144.0,30978.0,948.0,11131715.0,23735.0,469.0,27707772.0,29922.0,926.0,21536328.0,27753.0,776.0,11414412.0,24868.0,459.0,7028123.0,21233.0,331.0,6896755.0,22465.0,307.0,7100446.0,23827.0,298.0,6910071.0,24591.0,281.0,6818465.0,24265.0,281.0,6781432.0,20426.0,332.0,0.04560182202378127,0.05160373715221067
2018-3-15,12259042.333333334,23520.583333333332,12,147108508,282247,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",10486116.0,21444.0,489.0,28350888.0,29906.0,948.0,10494344.0,22376.0,469.0,27488310.0,29685.0,926.0,20305592.0,26167.0,776.0,10759878.0,23442.0,459.0,6625296.0,20016.0,331.0,6500418.0,21174.0,307.0,6737482.0,22609.0,298.0,6572309.0,23389.0,281.0,6441363.0,22923.0,281.0,6346512.0,19116.0,332.0,,
2018-2-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2018-1-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2017-12-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2017-11-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2017-10-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2017-9-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2017-8-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2017-7-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2017-6-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2017-5-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2017-4-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2017-3-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2017-2-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2017-1-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2016-12-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2016-11-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2016-10-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2016-9-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2016-8-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2016-7-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2016-6-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2016-5-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2016-4-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2016-3-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2016-2-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
2016-1-15,,,12,,,5897,"LIME GALA(Block 1A),SHAU KEI WAN RD|形薈1A座,筲箕灣道",,,489.0,,,948.0,,,469.0,,,926.0,,,776.0,,,459.0,,,331.0,,,307.0,,,298.0,,,281.0,,,281.0,,,332.0,,
