,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_change,npsf_change
2019-12-15,27210880.0,21258.5,2,54421760,42517,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",27317760.0,21342.0,1280.0,27104000.0,21175.0,1280.0,-0.060148547681152964,-0.060148547681152964
2019-1-15,26096640.0,20388.0,2,52193280,40776,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",26401280.0,20626.0,1280.0,25792000.0,20150.0,1280.0,-0.0018603740330950247,-0.0018603740330950247
2018-12-15,26145280.0,20426.0,2,52290560,40852,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",26449920.0,20664.0,1280.0,25840640.0,20188.0,1280.0,0.03145987981618936,0.03145987981618936
2018-11-15,25347840.0,19803.0,2,50695680,39606,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",25643520.0,20034.0,1280.0,25052160.0,19572.0,1280.0,,
2018-10-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2018-9-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2018-8-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2018-7-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2018-6-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2018-5-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2018-4-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2018-3-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2018-2-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2018-1-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2017-12-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2017-11-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2017-10-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2017-9-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2017-8-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2017-7-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2017-6-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2017-5-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2017-4-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2017-3-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2017-2-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2017-1-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2016-12-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2016-11-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2016-10-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2016-9-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2016-8-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2016-7-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2016-6-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2016-5-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2016-4-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2016-3-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2016-2-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
2016-1-15,,,2,,,2560,"KINGSFORD GDN(Block D),TIN HAU TEMPLE RD|瓊峰園D座,天后廟道",,,1280.0,,,1280.0,,
