,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_change,npsf_change
2019-12-15,7308616.0,14036.90909090909,11,80394776.0,154406.0,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",9042912.0,11082.0,816.0,10320856.0,14177.0,728.0,5764855.0,14095.0,409.0,8480080.0,15143.0,560.0,6121023.0,14893.0,411.0,8125040.0,14509.0,560.0,6009536.0,14446.0,416.0,6571632.0,14163.0,464.0,4813200.0,15280.0,315.0,7603547.0,13363.0,569.0,7542095.0,13255.0,569.0,-0.00030286325398287683,-0.00029782715665716
2019-1-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-12-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-11-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-10-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-9-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-8-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-7-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-6-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-5-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-4-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-3-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-2-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2018-1-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-12-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-11-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-10-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-9-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-8-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-7-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-6-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-5-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-4-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-3-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-2-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2017-1-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-12-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-11-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-10-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-9-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-8-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-7-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-6-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-5-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-4-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-3-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-2-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
2016-1-15,,,11,,,5817,"WETLAND SEASONS PARK(Block 1),WETLAND PARK RD|WETLAND SEASONS PARK1座,濕地公園路",,,816.0,,,728.0,,,409.0,,,560.0,,,411.0,,,560.0,,,416.0,,,464.0,,,315.0,,,569.0,,,569.0,,
