,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,lumpSum_change,npsf_change
2019-12-15,4546564.142857143,16494.85714285714,14,63651898.0,230928.0,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5149720.0,16612.0,310.0,5068756.0,16457.0,308.0,4890732.0,15879.0,308.0,5137630.0,16573.0,310.0,4080059.9999999995,17895.0,228.0,5379269.0,15683.0,343.0,4846179.0,15483.0,313.0,3811293.0,17091.0,223.0,4949923.0,15517.0,319.0,5038605.0,15795.0,319.0,3815736.0,17188.0,222.0,3635346.0,16302.0,223.0,3989470.0,17890.0,223.0,3859179.0,16563.0,233.0,-0.030858627105480707,-0.030854456941413533
2019-1-15,4494114.5,16305.214285714286,14,62917603.0,228273.0,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5065710.0,16341.0,310.0,4998224.0,16228.0,308.0,4826360.0,15670.0,308.0,5097950.0,16445.0,310.0,4033548.0,17691.0,228.0,5323360.0,15520.0,343.0,4805489.0,15353.0,313.0,3768031.0,16897.0,223.0,4885166.0,15314.0,319.0,4981504.0,15616.0,319.0,3772446.0,16993.0,222.0,3594091.0,16117.0,223.0,3942194.0,17678.0,223.0,3823530.0,16410.0,233.0,0.011506013794721826,0.011817009224004638
2018-12-15,4442993.357142857,16114.785714285714,14,62201907.0,225607.0,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5015180.0,16178.0,310.0,4948636.0,16067.0,308.0,4777388.0,15511.0,308.0,5048970.0,16287.0,310.0,3902448.0,17116.0,228.0,5270538.0,15366.0,343.0,4758852.0,15204.0,313.0,3730344.0,16728.0,223.0,4835402.0,15158.0,319.0,4932059.0,15461.0,319.0,3734706.0,16823.0,222.0,3558411.0,15957.0,223.0,3902723.0000000005,17501.0,223.0,3786250.0,16250.0,233.0,-0.040209943163345585,-0.04020709782266496
2018-11-15,4629130.428571428,16789.85714285714,14,64807826.0,235058.0,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",5128950.0,16545.0,310.0,5059208.0,16426.0,308.0,5005616.0,16252.0,308.0,5293560.0,17076.0,310.0,3974496.0,17432.0,228.0,5524015.0,16105.0,343.0,4988907.0,15939.0,313.0,3895586.9999999995,17469.0,223.0,5066677.0,15883.0,319.0,5168757.0,16203.0,319.0,3914081.9999999995,17631.0,222.0,3729229.0,16723.0,223.0,4089820.0000000005,18340.0,223.0,3968921.9999999995,17034.0,233.0,,
2018-10-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2018-9-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2018-8-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2018-7-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2018-6-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2018-5-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2018-4-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2018-3-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2018-2-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2018-1-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-12-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-11-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-10-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-9-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-8-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-7-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-6-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-5-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-4-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-3-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-2-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-1-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-12-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-11-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-10-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-9-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-8-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-7-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-6-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-5-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-4-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-3-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-2-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-1-15,,,14,,,3882,"EMERALD BAY(Phase 2),Block 3A,KWUN CHUI RD|恆大•珺瓏灣2期,3A座,管翠路",,,310.0,,,308.0,,,308.0,,,310.0,,,228.0,,,343.0,,,313.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
