,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_8A,npsf_8A,nfa_8A,lumpSum_9B,npsf_9B,nfa_9B,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2016-1-15,60131960.0,24920.0,3,180395880.0,74760,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",60131960.0,24920.0,2413.0,60131960.0,24920.0,2413.0,60131960.0,24920.0,2413.0,0.02958188729135669,0.02958188729135669
2016-12-15,66012441.0,27357.0,3,198037323.0,82071,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",66012441.0,27357.0,2413.0,66012441.0,27357.0,2413.0,66012441.0,27357.0,2413.0,0.008144162735848948,0.008144162735848948
2017-1-15,65479168.0,27136.0,3,196437504.0,81408,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",65479168.0,27136.0,2413.0,65479168.0,27136.0,2413.0,65479168.0,27136.0,2413.0,0.013823507434805427,0.013823507434805427
2017-2-15,64586358.0,26766.0,3,193759074.0,80298,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",64586358.0,26766.0,2413.0,64586358.0,26766.0,2413.0,64586358.0,26766.0,2413.0,-0.026726300861786845,-0.026726300861786845
2017-3-15,66359913.0,27501.0,3,199079739.0,82503,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",66359913.0,27501.0,2413.0,66359913.0,27501.0,2413.0,66359913.0,27501.0,2413.0,-0.01869759143621763,-0.01869759143621763
2017-4-15,67624325.0,28025.0,3,202872975.0,84075,7239.0,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",67624325.0,28025.0,2413.0,67624325.0,28025.0,2413.0,67624325.0,28025.0,2413.0,,
2017-5-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2017-6-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2017-7-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2017-8-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2017-9-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2017-10-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2017-11-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2017-12-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2018-1-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2018-2-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2018-3-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2018-4-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2018-5-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2018-6-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2018-7-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2018-8-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2018-9-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2018-10-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2018-11-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2018-12-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2019-1-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2019-2-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2019-3-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2019-4-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2019-5-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2019-6-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2019-7-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2019-8-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2019-9-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2019-10-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2019-11-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2019-12-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2020-1-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2020-2-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2020-3-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2020-4-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2020-5-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2020-6-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2020-7-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2020-8-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2020-9-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2020-10-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2020-11-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2020-12-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2021-1-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2021-2-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2021-3-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2021-4-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2021-5-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2021-6-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2021-7-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2021-8-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2021-9-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2021-10-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2021-11-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2021-12-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2022-1-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2022-2-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2022-3-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2022-4-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2022-5-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2022-6-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2022-7-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2022-8-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2022-9-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2022-10-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2022-11-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
2022-12-15,,,3,,,,"BORRETT MANSION,BOWEN RD|寶德臺,寶雲道",,,,,,,,,,,
