,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,11854029.0,12245.5,2,23708058.0,24491.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",12064860.0,12438.0,970.0,11643198.0,12053.0,966.0,0.00835802049273826,0.008358036890645515
2018-8-15,13142481.0,13576.5,2,26284962.0,27153.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",13377270.0,13791.0,970.0,12907692.000000002,13362.0,966.0,0.02006082419791899,0.02006085878507835
2018-7-15,12884017.0,13309.5,2,25768034.0,26619.0,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",13114400.000000002,13520.0,970.0,12653634.0,13099.0,966.0,,
2018-6-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2018-5-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2018-4-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2018-3-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2018-2-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2018-1-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2017-12-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2017-11-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2017-10-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2017-9-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2017-8-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2017-7-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2017-6-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2017-5-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2017-4-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2017-3-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2017-2-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2017-1-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2016-12-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2016-11-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2016-10-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2016-9-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2016-8-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2016-7-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2016-6-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2016-5-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2016-4-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2016-3-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2016-2-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
2016-1-15,,,2,,,1936,"CRESCENT GREEN(Block 1),KO PO PATH|山水盈1座,高埔徑",,,970.0,,,966.0,,
