,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,4858253.285714285,16448.14285714286,7,34007773.0,115137.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5478116.0,15302.0,358.0,5137020.0,16308.0,315.0,5216472.0,16404.0,318.0,5235831.0,16311.0,321.0,5271141.0,16421.0,321.0,3803042.0,17054.0,223.0,3866151.0000000005,17337.0,223.0,-0.030768793180246723,-0.030768065189574978
2018-12-15,4757661.571428572,16108.0,7,33303631.0,112756.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5367136.0,14992.0,358.0,5020785.0,15939.0,315.0,5109306.0,16067.0,318.0,5129901.0,15981.0,321.0,5162964.0,16084.0,321.0,3730344.0,16728.0,223.0,3783195.0,16965.0,223.0,-0.04586956126875075,-0.04587187016086047
2018-11-15,4986384.857142857,16882.428571428572,7,34904694.0,118177.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5625254.0,15713.0,358.0,5261130.0,16702.0,315.0,5355120.0,16840.0,318.0,5376750.0,16750.0,321.0,5411418.0,16858.0,321.0,3910305.0,17535.0,223.0,3964717.0,17779.0,223.0,-0.0004128970977269608,-0.0004144604401739027
2018-10-15,4988444.571428572,16889.428571428572,7,34919112.0,118226.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5628118.0,15721.0,358.0,5262075.0,16705.0,315.0,5357346.0,16847.0,318.0,5379318.0,16758.0,321.0,5413665.0,16865.0,321.0,3912535.0,17545.0,223.0,3966055.0,17785.0,223.0,-0.07714814823428462,-0.07715244711575986
2018-9-15,5405466.285714285,18301.428571428572,7,37838264.0,128110.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",6098888.0,17036.0,358.0,5700555.0,18097.0,315.0,5805408.0,18256.0,318.0,5829360.0,18160.0,321.0,5866275.0,18275.0,321.0,4240568.0,19016.0,223.0,4297210.0,19270.0,223.0,0.01962185761044255,0.01961876716144695
2018-8-15,5301442.142857143,17949.285714285714,7,37110095.0,125645.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5981822.0,16709.0,358.0,5589675.0,17745.0,315.0,5693790.0,17905.0,318.0,5717331.0,17811.0,321.0,5753604.0,17924.0,321.0,4159842.0,18654.0,223.0,4214031.0,18897.0,223.0,0.00488286253161796,0.004878633982484892
2018-7-15,5275681.714285715,17862.14285714286,7,36929772.0,125035.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5953182.0,16629.0,358.0,5561010.0,17654.0,315.0,5666124.0,17818.0,318.0,5690046.0,17726.0,321.0,5725677.0,17837.0,321.0,4140441.0,18567.0,223.0,4193292.0000000005,18804.0,223.0,-0.0058012782357006465,-0.005804476603188502
2018-6-15,5306466.0,17966.428571428572,7,37145262.0,125765.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5988266.0,16727.0,358.0,5592195.0,17753.0,315.0,5699196.0,17922.0,318.0,5723430.0,17830.0,321.0,5759382.0,17942.0,321.0,4165417.0,18679.0,223.0,4217376.0,18912.0,223.0,0.027467274658196983,0.027466647059304128
2018-5-15,5164608.285714285,17486.14285714286,7,36152258.0,122403.0,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",5828598.0,16281.0,358.0,5441310.0,17274.0,315.0,5547192.0,17444.0,318.0,5570634.0,17354.0,321.0,5605623.0,17463.0,321.0,4054808.9999999995,18183.0,223.0,4104092.0000000005,18404.0,223.0,,
2018-4-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2018-3-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2018-2-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2018-1-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2017-12-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2017-11-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2017-10-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2017-9-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2017-8-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2017-7-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2017-6-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2017-5-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2017-4-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2017-3-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2017-2-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2017-1-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2016-12-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2016-11-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2016-10-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2016-9-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2016-8-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2016-7-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2016-6-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2016-5-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2016-4-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2016-3-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2016-2-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
2016-1-15,,,7,,,2079,"EMERALD BAY(Phase 1),Block 1A,KWUN CHUI RD|恆大•珺瓏灣1期,1A座,管翠路",,,358.0,,,315.0,,,318.0,,,321.0,,,321.0,,,223.0,,,223.0,,
