,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,8506033.6,14942.0,5,42530168.0,74710.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",12014424.999999998,15305.0,785.0,7073621.999999999,13551.0,522.0,7463820.0,13670.0,546.0,9201676.0,14113.0,652.0,6776625.0,18071.0,375.0,-0.049916174924462764,-0.04991416036116236
2019-1-15,8412760.4,14707.8,5,42063802.0,73539.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",12118045.0,15437.0,785.0,6999498.0,13409.0,522.0,7383012.0,13522.0,546.0,9118872.0,13986.0,652.0,6444375.0,17185.0,375.0,0.03980691497595501,0.03978791092258738
2018-12-15,8090694.8,14145.0,5,40453474.0,70725.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",11652540.0,14844.0,785.0,6731190.0,12895.0,522.0,7099638.0,13003.0,546.0,8771356.0,13453.0,652.0,6198750.0,16530.0,375.0,-0.035378284517174285,-0.03539279869067102
2018-11-15,8387427.6,14664.0,5,41937138.0,73320.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",12078010.0,15386.0,785.0,6978096.000000001,13368.0,522.0,7359534.0,13479.0,546.0,9094748.0,13949.0,652.0,6426750.0,17138.0,375.0,0.03334690689589048,0.03333098442674931
2018-10-15,8116758.8,14191.0,5,40583794.0,70955.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",11686295.0,14887.0,785.0,6752592.0,12936.0,522.0,7121478.0,13043.0,546.0,8803304.0,13502.0,652.0,6220125.0,16587.0,375.0,-0.1074390114867666,-0.10745059561996051
2018-9-15,9093786.2,15899.4,5,45468931.0,79497.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",13091445.0,16677.0,785.0,7564824.0,14492.0,522.0,7978152.0,14612.0,546.0,9864760.0,15130.0,652.0,6969750.0,18586.0,375.0,0.0017266366278201328,0.0017136880835675328
2018-8-15,9078111.6,15872.2,5,45390558.0,79361.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",13067110.0,16646.0,785.0,7551774.0,14467.0,522.0,7963410.0,14585.0,546.0,9849764.0,15107.0,652.0,6958500.0,18556.0,375.0,0.006960811115485965,0.0069403913010379625
2018-7-15,9015357.4,15762.8,5,45076787.0,78814.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",12974480.0,16528.0,785.0,7499051.999999999,14366.0,522.0,7907718.0,14483.0,546.0,9783911.999999998,15006.0,652.0,6911625.0,18431.0,375.0,0.014975147886092666,0.01496419924792658
2018-6-15,8882343.0,15530.4,5,44411715.0,77652.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",12781370.0,16282.0,785.0,7387866.0,14153.0,522.0,7790328.0,14268.0,546.0,9641776.0,14788.0,652.0,6810375.0,18161.0,375.0,0.02572339172217064,0.025704699759596217
2018-5-15,8659589.0,15141.2,5,43297945.0,75706.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",12458735.0,15871.0,785.0,7202556.0,13798.0,522.0,7594314.0,13909.0,546.0,9401840.0,14420.0,652.0,6640499.999999999,17708.0,375.0,0.002904716680910857,0.0028878762187367624
2018-4-15,8634508.2,15097.6,5,43172541.0,75488.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",12420270.0,15822.0,785.0,7181154.0,13757.0,522.0,7571928.000000001,13868.0,546.0,9377064.0,14382.0,652.0,6622125.0,17659.0,375.0,0.03773266666599362,0.03772132409545814
2018-3-15,8320551.6,14548.8,5,41602758.0,72744.0,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",11967325.0,15245.0,785.0,6919632.0,13256.0,522.0,7295652.0,13362.0,546.0,9038024.0,13862.0,652.0,6382125.0,17019.0,375.0,,
2018-2-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2018-1-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-12-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-11-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-10-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-9-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-8-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-7-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-6-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-5-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-4-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-3-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-2-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-1-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-12-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-11-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-10-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-9-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-8-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-7-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-6-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-5-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-4-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-3-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-2-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-1-15,,,5,,,2880,"GRAND MARINI(Block 2B,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2B座(GRAND MARINI),1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
