,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_21,npsf_21,nfa_21,lumpSum_23,npsf_23,nfa_23,lumpSum_24,npsf_24,nfa_24,lumpSum_32,npsf_32,nfa_32,lumpSum_33,npsf_33,nfa_33,lumpSum_34,npsf_34,nfa_34,lumpSum_43,npsf_43,nfa_43,lumpSum_52,npsf_52,nfa_52,lumpSum_6164,npsf_6164,nfa_6164,lumpSum_change,npsf_change
2016-1-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",18490140.0,12708.0,1455.0,18490140.0,12708.0,1455.0,18490140.0,12708.0,1455.0,18490140.0,12708.0,1455.0,18490140.0,12708.0,1455.0,18490140.0,12708.0,1455.0,18490140.0,12708.0,1455.0,18490140.0,12708.0,1455.0,,,,,
2018-3-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-4-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-5-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-6-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-7-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-8-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-9-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-3-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-4-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-5-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-6-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-7-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-8-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-9-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24889230.0,17106.0,1455.0,26798190.0,18418.0,1455.0,26798190.0,18418.0,1455.0,26798190.0,18418.0,1455.0,26798190.0,18418.0,1455.0,26798190.0,18418.0,1455.0,26798190.0,18418.0,1455.0,26798190.0,18418.0,1455.0,,,,,
2020-2-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24116625.0,16575.0,1455.0,25968840.0,17848.0,1455.0,25968840.0,17848.0,1455.0,25968840.0,17848.0,1455.0,25968840.0,17848.0,1455.0,25968840.0,17848.0,1455.0,25968840.0,17848.0,1455.0,25968840.0,17848.0,1455.0,,,,,
2020-3-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24905235.0,17117.0,1455.0,26820015.0,18433.0,1455.0,26820015.0,18433.0,1455.0,26820015.0,18433.0,1455.0,26820015.0,18433.0,1455.0,26820015.0,18433.0,1455.0,26820015.0,18433.0,1455.0,26820015.0,18433.0,1455.0,,,,,
2020-4-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24345060.0,16732.0,1455.0,26217645.0,18019.0,1455.0,26217645.0,18019.0,1455.0,26217645.0,18019.0,1455.0,26217645.0,18019.0,1455.0,26217645.0,18019.0,1455.0,26217645.0,18019.0,1455.0,26217645.0,18019.0,1455.0,,,,,
2020-5-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",25167135.0,17297.0,1455.0,27105195.0,18629.0,1455.0,27105195.0,18629.0,1455.0,27105195.0,18629.0,1455.0,27105195.0,18629.0,1455.0,27105195.0,18629.0,1455.0,27105195.0,18629.0,1455.0,27105195.0,18629.0,1455.0,,,,,
2020-6-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24777195.0,17029.0,1455.0,26687610.0,18342.0,1455.0,26687610.0,18342.0,1455.0,26687610.0,18342.0,1455.0,26687610.0,18342.0,1455.0,26687610.0,18342.0,1455.0,26687610.0,18342.0,1455.0,26687610.0,18342.0,1455.0,,,,,
2020-7-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24820845.0,17059.0,1455.0,26735625.0,18375.0,1455.0,26735625.0,18375.0,1455.0,26735625.0,18375.0,1455.0,26735625.0,18375.0,1455.0,26735625.0,18375.0,1455.0,26735625.0,18375.0,1455.0,26735625.0,18375.0,1455.0,,,,,
2020-8-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24088980.0,16556.0,1455.0,25948470.0,17834.0,1455.0,25948470.0,17834.0,1455.0,25948470.0,17834.0,1455.0,25948470.0,17834.0,1455.0,25948470.0,17834.0,1455.0,25948470.0,17834.0,1455.0,25948470.0,17834.0,1455.0,,,,,
2020-9-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",25002720.0,17184.0,1455.0,25344645.0,17419.0,1455.0,25344645.0,17419.0,1455.0,25344645.0,17419.0,1455.0,25677840.0,17648.0,1455.0,25344645.0,17419.0,1455.0,25344645.0,17419.0,1455.0,25344645.0,17419.0,1455.0,,,,,
2020-10-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24729180.0,16996.0,1455.0,25068195.0,17229.0,1455.0,25068195.0,17229.0,1455.0,25068195.0,17229.0,1455.0,25397025.0,17455.0,1455.0,25068195.0,17229.0,1455.0,25068195.0,17229.0,1455.0,25068195.0,17229.0,1455.0,,,,,
2020-11-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24198105.0,16631.0,1455.0,24528390.0,16858.0,1455.0,24528390.0,16858.0,1455.0,24528390.0,16858.0,1455.0,24851400.0,17080.0,1455.0,24528390.0,16858.0,1455.0,24528390.0,16858.0,1455.0,24528390.0,16858.0,1455.0,,,,,
2020-12-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24537120.0,16864.0,1455.0,24871770.0,17094.0,1455.0,24871770.0,17094.0,1455.0,24871770.0,17094.0,1455.0,25199145.0,17319.0,1455.0,24871770.0,17094.0,1455.0,24871770.0,17094.0,1455.0,24871770.0,17094.0,1455.0,,,,,
2021-1-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24509475.0,16845.0,1455.0,24845580.0,17076.0,1455.0,24845580.0,17076.0,1455.0,24845580.0,17076.0,1455.0,25171500.0,17300.0,1455.0,24845580.0,17076.0,1455.0,24845580.0,17076.0,1455.0,24845580.0,17076.0,1455.0,,,,,
2021-2-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24422175.0,16785.0,1455.0,24755370.0,17014.0,1455.0,24755370.0,17014.0,1455.0,24755370.0,17014.0,1455.0,25082745.0,17239.0,1455.0,24755370.0,17014.0,1455.0,24755370.0,17014.0,1455.0,24755370.0,17014.0,1455.0,,,,,
2021-3-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24867405.0,17091.0,1455.0,25207875.0,17325.0,1455.0,25207875.0,17325.0,1455.0,25207875.0,17325.0,1455.0,25539615.0,17553.0,1455.0,25207875.0,17325.0,1455.0,25207875.0,17325.0,1455.0,25207875.0,17325.0,1455.0,,,,,
2021-4-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",25033275.0,17205.0,1455.0,25375200.0,17440.0,1455.0,25375200.0,17440.0,1455.0,25375200.0,17440.0,1455.0,25709850.0,17670.0,1455.0,25375200.0,17440.0,1455.0,25375200.0,17440.0,1455.0,25375200.0,17440.0,1455.0,,,,,
2021-5-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24887775.0,17105.0,1455.0,25228245.0,17339.0,1455.0,25228245.0,17339.0,1455.0,25228245.0,17339.0,1455.0,25561440.0,17568.0,1455.0,25228245.0,17339.0,1455.0,25228245.0,17339.0,1455.0,25228245.0,17339.0,1455.0,,,,,
2021-6-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",25706940.0,17668.0,1455.0,26057595.0,17909.0,1455.0,26057595.0,17909.0,1455.0,26057595.0,17909.0,1455.0,26402430.0,18146.0,1455.0,26057595.0,17909.0,1455.0,26057595.0,17909.0,1455.0,26057595.0,17909.0,1455.0,,,,,
2021-7-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",25507605.0,17531.0,1455.0,25855350.0,17770.0,1455.0,25855350.0,17770.0,1455.0,25855350.0,17770.0,1455.0,26197275.0,18005.0,1455.0,25855350.0,17770.0,1455.0,25855350.0,17770.0,1455.0,25855350.0,17770.0,1455.0,,,,,
2021-8-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",25091475.0,17245.0,1455.0,25434855.0,17481.0,1455.0,25434855.0,17481.0,1455.0,25434855.0,17481.0,1455.0,25772415.0,17713.0,1455.0,25434855.0,17481.0,1455.0,25434855.0,17481.0,1455.0,25434855.0,17481.0,1455.0,,,,,
2021-9-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",25442130.0,17486.0,1455.0,25789875.0,17725.0,1455.0,25789875.0,17725.0,1455.0,25789875.0,17725.0,1455.0,26133255.0,17961.0,1455.0,25789875.0,17725.0,1455.0,25789875.0,17725.0,1455.0,25789875.0,17725.0,1455.0,,,,,
2021-10-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24918330.0,17126.0,1455.0,25257345.0,17359.0,1455.0,25257345.0,17359.0,1455.0,25257345.0,17359.0,1455.0,25594905.0,17591.0,1455.0,25257345.0,17359.0,1455.0,25257345.0,17359.0,1455.0,25257345.0,17359.0,1455.0,,,,,
2021-11-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24925605.0,17131.0,1455.0,25264620.0,17364.0,1455.0,25264620.0,17364.0,1455.0,25264620.0,17364.0,1455.0,25603635.0,17597.0,1455.0,25264620.0,17364.0,1455.0,25264620.0,17364.0,1455.0,25264620.0,17364.0,1455.0,,,,,
2021-12-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",25232610.0,17342.0,1455.0,25574535.0,17577.0,1455.0,25574535.0,17577.0,1455.0,25574535.0,17577.0,1455.0,25919370.0,17814.0,1455.0,25574535.0,17577.0,1455.0,25574535.0,17577.0,1455.0,25574535.0,17577.0,1455.0,,,,,
2022-1-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24199560.0,16632.0,1455.0,24528390.0,16858.0,1455.0,24528390.0,16858.0,1455.0,24528390.0,16858.0,1455.0,24858675.0,17085.0,1455.0,24528390.0,16858.0,1455.0,24528390.0,16858.0,1455.0,24528390.0,16858.0,1455.0,,,,,
2022-2-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24318870.0,16714.0,1455.0,24649155.0,16941.0,1455.0,24649155.0,16941.0,1455.0,24649155.0,16941.0,1455.0,24982350.0,17170.0,1455.0,24649155.0,16941.0,1455.0,24649155.0,16941.0,1455.0,24649155.0,16941.0,1455.0,,,,,
2022-3-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24081705.0,16551.0,1455.0,24406170.0,16774.0,1455.0,24406170.0,16774.0,1455.0,24406170.0,16774.0,1455.0,24736455.0,17001.0,1455.0,24406170.0,16774.0,1455.0,24406170.0,16774.0,1455.0,24406170.0,16774.0,1455.0,,,,,
2022-4-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24138450.0,16590.0,1455.0,24464370.0,16814.0,1455.0,24464370.0,16814.0,1455.0,24464370.0,16814.0,1455.0,24796110.0,17042.0,1455.0,24464370.0,16814.0,1455.0,24464370.0,16814.0,1455.0,24464370.0,16814.0,1455.0,,,,,
2022-5-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24241755.0,16661.0,1455.0,24569130.0,16886.0,1455.0,24569130.0,16886.0,1455.0,24569130.0,16886.0,1455.0,24900870.0,17114.0,1455.0,24569130.0,16886.0,1455.0,24569130.0,16886.0,1455.0,24569130.0,16886.0,1455.0,,,,,
2022-6-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",24180645.0,16619.0,1455.0,24506565.0,16843.0,1455.0,24506565.0,16843.0,1455.0,24506565.0,16843.0,1455.0,24839760.0,17072.0,1455.0,24506565.0,16843.0,1455.0,24506565.0,16843.0,1455.0,24506565.0,16843.0,1455.0,,,,,
2022-7-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",23185425.0,15935.0,1455.0,23498250.0,16150.0,1455.0,23498250.0,16150.0,1455.0,23498250.0,16150.0,1455.0,23816895.0,16369.0,1455.0,23498250.0,16150.0,1455.0,23498250.0,16150.0,1455.0,23498250.0,16150.0,1455.0,,,,,
2022-8-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",23215980.0,15956.0,1455.0,23528805.0,16171.0,1455.0,23528805.0,16171.0,1455.0,23528805.0,16171.0,1455.0,23848905.0,16391.0,1455.0,23528805.0,16171.0,1455.0,23528805.0,16171.0,1455.0,23528805.0,16171.0,1455.0,,,,,
2022-9-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",22271685.0,15307.0,1455.0,22572870.0,15514.0,1455.0,22572870.0,15514.0,1455.0,22572870.0,15514.0,1455.0,22878420.0,15724.0,1455.0,22572870.0,15514.0,1455.0,22572870.0,15514.0,1455.0,22572870.0,15514.0,1455.0,,,,,
2022-10-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",21459795.0,14749.0,1455.0,21749340.0,14948.0,1455.0,21749340.0,14948.0,1455.0,21749340.0,14948.0,1455.0,22044705.0,15151.0,1455.0,21749340.0,14948.0,1455.0,21749340.0,14948.0,1455.0,21749340.0,14948.0,1455.0,,,,,
2022-11-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",20986920.0,14424.0,1455.0,21269190.0,14618.0,1455.0,21269190.0,14618.0,1455.0,21269190.0,14618.0,1455.0,21558735.0,14817.0,1455.0,21269190.0,14618.0,1455.0,21269190.0,14618.0,1455.0,21269190.0,14618.0,1455.0,,,,,
2022-12-15,,,9,,,,"ROBINSON MANSION,ROBINSON RD|羅便臣大廈,羅便臣道",21082950.0,14490.0,1455.0,21366675.0,14685.0,1455.0,21366675.0,14685.0,1455.0,21366675.0,14685.0,1455.0,21657675.0,14885.0,1455.0,21366675.0,14685.0,1455.0,21366675.0,14685.0,1455.0,21366675.0,14685.0,1455.0,,,,,
