,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,3958941.285714286,13732.142857142857,7,27712589,96125,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",4028815.0,13657.0,295.0,3800720.0,13574.0,280.0,4080600.0,13602.0,300.0,4028815.0,13657.0,295.0,3940440.0,14073.0,280.0,4125584.0,13571.0,304.0,3707615.0,13991.0,265.0,-0.014810448717071267,-0.014809880086092075
2018-6-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2018-5-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2018-4-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2018-3-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2018-2-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2018-1-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2017-12-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2017-11-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2017-10-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2017-9-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2017-8-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2017-7-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2017-6-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2017-5-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2017-4-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2017-3-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2017-2-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2017-1-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2016-12-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2016-11-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2016-10-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2016-9-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2016-8-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2016-7-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2016-6-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2016-5-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2016-4-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2016-3-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2016-2-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
2016-1-15,,,7,,,2019,"HANG SHUN BLDG,BOUNDARY ST|恒順大樓,界限街",,,295.0,,,280.0,,,300.0,,,295.0,,,280.0,,,304.0,,,265.0,,
