,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_C1,npsf_C1,nfa_C1,lumpSum_C2,npsf_C2,nfa_C2,lumpSum_C3,npsf_C3,nfa_C3,lumpSum_C4,npsf_C4,nfa_C4,lumpSum_change,npsf_change
2019-12-15,69340626.66666667,46579.833333333336,6,416043760,279479,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",67807525.0,46285.0,1465.0,67807525.0,46285.0,1465.0,71481312.0,47276.0,1512.0,70652736.0,46728.0,1512.0,67879310.0,46334.0,1465.0,70415352.0,46571.0,1512.0,-0.06370637380694133,-0.06370625973634392
2019-1-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2018-12-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2018-11-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2018-10-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2018-9-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2018-8-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2018-7-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2018-6-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2018-5-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2018-4-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2018-3-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2018-2-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2018-1-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2017-12-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2017-11-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2017-10-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2017-9-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2017-8-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2017-7-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2017-6-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2017-5-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2017-4-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2017-3-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2017-2-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2017-1-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2016-12-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2016-11-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2016-10-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2016-9-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2016-8-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2016-7-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2016-6-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2016-5-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2016-4-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2016-3-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2016-2-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
2016-1-15,,,6,,,8931,"GOODVIEW GDN(Block C),STUBBS RD|豐景台C座,司徒拔道",,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1465.0,,,1512.0,,
