,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,lumpSum_change,npsf_change
2019-12-15,4144944.777777778,8214.777777777777,9,37304503.0,73933.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",3642912.0,7784.0,468.0,4656573.0,8271.0,563.0,4730889.0,8403.0,563.0,3611620.0,8116.0,445.0,3630165.0,8085.0,449.0,3615348.0,8052.0,449.0,4830540.0,8580.0,563.0,4729200.0,8400.0,563.0,3857256.0,8242.0,468.0,-0.023599167421693656,-0.02360010565240367
2018-6-15,4421259.444444444,8766.222222222223,9,39791335.0,78896.0,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",3873635.9999999995,8277.0,468.0,4951022.000000001,8794.0,563.0,5030405.0,8935.0,563.0,3968065.0,8917.0,445.0,3863196.0,8604.0,449.0,3840746.0,8554.0,449.0,5135123.0,9121.0,563.0,5027590.0,8930.0,563.0,4101552.0,8764.0,468.0,,
2018-5-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2018-4-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2018-3-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2018-2-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2018-1-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2017-12-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2017-11-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2017-10-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2017-9-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2017-8-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2017-7-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2017-6-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2017-5-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2017-4-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2017-3-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2017-2-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2017-1-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2016-12-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2016-11-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2016-10-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2016-9-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2016-8-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2016-7-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2016-6-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2016-5-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2016-4-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2016-3-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2016-2-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
2016-1-15,,,9,,,4531,"KWUN TAK COURT(Block B),SHEUNG LOK ST|冠德苑B座,常樂街",,,468.0,,,563.0,,,563.0,,,445.0,,,449.0,,,449.0,,,563.0,,,563.0,,,468.0,,
