,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_2,npsf_2,nfa_2,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_change,npsf_change
2016-1-15,7477888.0,11029.333333333334,3,22433664.0,33088,2034.0,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",7447830.0,10985.0,678.0,7517664.0,11088.0,678.0,7468170.0,11015.0,678.0,-0.02265544232757344,-0.02265544232757344
2018-7-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2018-8-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2018-9-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2018-10-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2018-11-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2018-12-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2019-1-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2019-2-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2019-3-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2019-4-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2019-5-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2019-6-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2019-7-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2019-8-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2019-9-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2019-10-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2019-11-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2019-12-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2020-1-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2020-2-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2020-3-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2020-4-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2020-5-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2020-6-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2020-7-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2020-8-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2020-9-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2020-10-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2020-11-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2020-12-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2021-1-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2021-2-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2021-3-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2021-4-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2021-5-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2021-6-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2021-7-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2021-8-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2021-9-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2021-10-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2021-11-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2021-12-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2022-1-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2022-2-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2022-3-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2022-4-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2022-5-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2022-6-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2022-7-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2022-8-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2022-9-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2022-10-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2022-11-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
2022-12-15,,,3,,,,"UNIVERSAL TOWERS(Block 1),KIN WAH ST|宇宙閣1座,建華街",,,,,,,,,,,
