,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2016-1-15,,,2,,,,2-4 GORDON RD|2-4 歌頓道,,,,,,,,
2020-8-15,4279598.0,11366.5,2,8559196.0,22733,753.0,2-4 GORDON RD|2-4 歌頓道,4368676.0,11588.0,377.0,4190520.0,11145.0,376.0,-0.043706708580678266,-0.04370688204610462
2020-9-15,4475194.0,11886.0,2,8950388.0,23772,753.0,2-4 GORDON RD|2-4 歌頓道,4567732.0,12116.0,377.0,4382656.0,11656.0,376.0,0.01615814413743033,0.016157989228007263
2020-10-15,4404033.0,11697.0,2,8808066.0,23394,753.0,2-4 GORDON RD|2-4 歌頓道,4494594.0,11922.0,377.0,4313472.0,11472.0,376.0,-0.005948576732847877,-0.005948839976204656
2020-11-15,4430387.5,11767.0,2,8860775.0,23534,753.0,2-4 GORDON RD|2-4 歌頓道,4520607.0,11991.0,377.0,4340168.0,11543.0,376.0,-0.004188896261292374,-0.0041890576735920115
2020-12-15,4449024.0,11816.5,2,8898048.0,23633,753.0,2-4 GORDON RD|2-4 歌頓道,4539080.0,12040.0,377.0,4358968.0,11593.0,376.0,-0.0038356263761138987,-0.00383577811498903
2021-1-15,4466154.5,11862.0,2,8932309.0,23724,753.0,2-4 GORDON RD|2-4 歌頓道,4556045.0,12085.0,377.0,4376264.0,11639.0,376.0,0.009961891426294445,0.009961685823754785
2021-2-15,4422102.0,11745.0,2,8844204.0,23490,753.0,2-4 GORDON RD|2-4 歌頓道,4510428.0,11964.0,377.0,4333776.0,11526.0,376.0,-0.023284583724413555,-0.023284823284823286
2021-3-15,4527523.5,12025.0,2,9055047.0,24050,753.0,2-4 GORDON RD|2-4 歌頓道,4617119.0,12247.0,377.0,4437928.0,11803.0,376.0,0.019476229495461572,0.01945657242168619
2021-4-15,4441029.0,11795.5,2,8882058.0,23591,753.0,2-4 GORDON RD|2-4 歌頓道,4464434.0,11842.0,377.0,4417624.0,11749.0,376.0,0.019093595482606363,0.019093697351937555
2021-5-15,4357822.5,11574.5,2,8715645.0,23149,753.0,2-4 GORDON RD|2-4 歌頓道,4381117.0,11621.0,377.0,4334528.0,11528.0,376.0,-0.02853683395328499,-0.028536657014562095
2021-6-15,4485834.0,11914.5,2,8971668.0,23829,753.0,2-4 GORDON RD|2-4 歌頓道,4510428.0,11964.0,377.0,4461240.0,11865.0,376.0,0.019247934872963723,0.019248043115616564
2021-7-15,4401121.5,11689.5,2,8802243.0,23379,753.0,2-4 GORDON RD|2-4 歌頓道,4425603.0,11739.0,377.0,4376640.0,11640.0,376.0,-0.044194729143318345,-0.04419460343417825
2021-8-15,4604621.5,12230.0,2,9209243.0,24460,753.0,2-4 GORDON RD|2-4 歌頓道,4630691.0,12283.0,377.0,4578552.0,12177.0,376.0,0.06384814993613497,0.06384829505915102
2021-9-15,4328269.5,11496.0,2,8656539.0,22992,753.0,2-4 GORDON RD|2-4 歌頓道,4353219.0,11547.0,377.0,4303320.0,11445.0,376.0,0.03144753981239701,0.03144766946301192
2021-10-15,4196306.0,11145.5,2,8392612.0,22291,753.0,2-4 GORDON RD|2-4 歌頓道,4220892.0,11196.0,377.0,4171720.0,11095.0,376.0,0.01230685762553918,0.012306993642143604
2021-11-15,4145290.5,11010.0,2,8290581.0,22020,753.0,2-4 GORDON RD|2-4 歌頓道,4169997.0,11061.0,377.0,4120584.0,10959.0,376.0,-0.07947003396395391,-0.07946992182601065
2021-12-15,4503156.5,11960.5,2,9006313.0,23921,753.0,2-4 GORDON RD|2-4 歌頓道,4530409.0,12017.0,377.0,4475904.0,11904.0,376.0,0.09148550911254505,0.0914856725679869
2022-1-15,4125713.5,10958.0,2,8251427.0,21916,753.0,2-4 GORDON RD|2-4 歌頓道,4151147.0,11011.0,377.0,4100280.0,10905.0,376.0,-0.011144570588591973,-0.011144700627171433
2022-2-15,4172211.0,11081.5,2,8344422.0,22163,753.0,2-4 GORDON RD|2-4 歌頓道,4197518.0,11134.0,377.0,4146904.0,11029.0,376.0,-0.01698744507647998,-0.01698749223809104
2022-3-15,4244311.0,11273.0,2,8488622.0,22546,753.0,2-4 GORDON RD|2-4 歌頓道,4269902.0,11326.0,377.0,4218720.0,11220.0,376.0,-0.017731721318693383,-0.01773188689931604
2022-4-15,4320928.5,11476.5,2,8641857.0,22953,753.0,2-4 GORDON RD|2-4 歌頓道,4346433.0,11529.0,377.0,4295424.0,11424.0,376.0,0.04241802040311926,0.042417911803442454
2022-5-15,4145101.5,11009.5,2,8290203.0,22019,753.0,2-4 GORDON RD|2-4 歌頓道,4169243.0,11059.0,377.0,4120960.0,10960.0,376.0,-0.0022202162806231884,-0.0022204096429219167
2022-6-15,4154325.0,11034.0,2,8308650.0,22068,753.0,2-4 GORDON RD|2-4 歌頓道,4177914.0,11082.0,377.0,4130736.0,10986.0,376.0,0.16331053284919061,0.16331049024775957
2022-7-15,3571123.0,9485.0,2,7142246.0,18970,753.0,2-4 GORDON RD|2-4 歌頓道,3591302.0,9526.0,377.0,3550944.0,9444.0,376.0,-0.12342299508019383,-0.12342313201792898
2022-8-15,4073941.0,10820.5,2,8147882.0,21641,753.0,2-4 GORDON RD|2-4 歌頓道,4096482.0,10866.0,377.0,4051400.0,10775.0,376.0,0.01041193235896043,0.010411803156223698
2022-9-15,4031960.5,10709.0,2,8063921.0,21418,753.0,2-4 GORDON RD|2-4 歌頓道,4053881.0,10753.0,377.0,4010040.0,10665.0,376.0,0.06229560588130756,0.0622954072016666
2022-10-15,3795516.5,10081.0,2,7591033.0,20162,753.0,2-4 GORDON RD|2-4 歌頓道,3815617.0,10121.0,377.0,3775416.0,10041.0,376.0,0.03762044635118267,0.037620297462817254
2022-11-15,3657904.5,9715.5,2,7315809.0,19431,753.0,2-4 GORDON RD|2-4 歌頓道,3676881.0,9753.0,377.0,3638928.0,9678.0,376.0,-0.02204428025338756,-0.022044390759474508
2022-12-15,3740358.0,9934.5,2,7480716.0,19869,753.0,2-4 GORDON RD|2-4 歌頓道,3759444.0,9972.0,377.0,3721272.0,9897.0,376.0,,
