,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,29604213.0,28702.0,3,88812639,86106,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",34451540.0,28055.0,1228.0,27793972.0,29758.0,934.0,26567127.0,28293.0,939.0,-0.023357394727054226,-0.023353938637781346
2018-1-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2017-12-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2017-11-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2017-10-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2017-9-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2017-8-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2017-7-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2017-6-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2017-5-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2017-4-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2017-3-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2017-2-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2017-1-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-12-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-11-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-10-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-9-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-8-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-7-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-6-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-5-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-4-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-3-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-2-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
2016-1-15,,,3,,,3101,"GRAND HOMM(Block 3),SHEUNG SHING ST|傲玟3座,常盛街",,,1228.0,,,934.0,,,939.0,,
