,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2016-1-15,31954356.0,14918.0,1,31954356.0,14918,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",31954356.0,14918.0,2142.0,0.02904049113609708,0.02904049113609708
2017-12-15,39327120.0,18360.0,1,39327120.0,18360,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",39327120.0,18360.0,2142.0,0.060413538177197745,0.060413538177197745
2018-1-15,37086588.0,17314.0,1,37086588.0,17314,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",37086588.0,17314.0,2142.0,-0.08782466677203515,-0.08782466677203515
2018-2-15,40657302.0,18981.0,1,40657302.0,18981,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",40657302.0,18981.0,2142.0,0.0038077106139933203,0.0038077106139933203
2018-3-15,40503078.0,18909.0,1,40503078.0,18909,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",40503078.0,18909.0,2142.0,0.0390702274975272,0.0390702274975272
2018-4-15,38980116.0,18198.0,1,38980116.0,18198,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",38980116.0,18198.0,2142.0,-0.05159474671669795,-0.05159474671669795
2018-5-15,41100696.0,19188.0,1,41100696.0,19188,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",41100696.0,19188.0,2142.0,-0.02271569725985534,-0.02271569725985534
2018-6-15,42056028.0,19634.0,1,42056028.0,19634,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",42056028.0,19634.0,2142.0,-0.007280817069471146,-0.007280817069471146
2018-7-15,42364476.0,19778.0,1,42364476.0,19778,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",42364476.0,19778.0,2142.0,0.06019833824711873,0.06019833824711873
2018-8-15,39959010.0,18655.0,1,39959010.0,18655,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",39959010.0,18655.0,2142.0,-0.01191737288135597,-0.01191737288135597
2018-9-15,40440960.0,18880.0,1,40440960.0,18880,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",40440960.0,18880.0,2142.0,0.15728821870785836,0.15728821870785836
2018-10-15,34944588.0,16314.0,1,34944588.0,16314,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",34944588.0,16314.0,2142.0,0.11221707117534763,0.11221707117534763
2018-11-15,31418856.0,14668.0,1,31418856.0,14668,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",31418856.0,14668.0,2142.0,-0.11366245694603905,-0.11366245694603905
2018-12-15,35447958.0,16549.0,1,35447958.0,16549,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",35447958.0,16549.0,2142.0,-0.09736009599650919,-0.09736009599650919
2019-1-15,39271428.0,18334.0,1,39271428.0,18334,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",39271428.0,18334.0,2142.0,-0.0808182091647448,-0.0808182091647448
2019-2-15,42724332.0,19946.0,1,42724332.0,19946,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",42724332.0,19946.0,2142.0,0.06983479939927051,0.06983479939927051
2019-3-15,39935448.0,18644.0,1,39935448.0,18644,2142.0,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",39935448.0,18644.0,2142.0,,
2019-4-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2019-5-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2019-6-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2019-7-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2019-8-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2019-9-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2019-10-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2019-11-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2019-12-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2020-1-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2020-2-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2020-3-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2020-4-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2020-5-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2020-6-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2020-7-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2020-8-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2020-9-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2020-10-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2020-11-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2020-12-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2021-1-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2021-2-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2021-3-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2021-4-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2021-5-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2021-6-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2021-7-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2021-8-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2021-9-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2021-10-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2021-11-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2021-12-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2022-1-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2022-2-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2022-3-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2022-4-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2022-5-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2022-6-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2022-7-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2022-8-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2022-9-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2022-10-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2022-11-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
2022-12-15,,,1,,,,"BAGUIO VILLA(Block 44),VICTORIA RD|碧瑤灣44座,域多利道",,,,,
