,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,8485082.25,15616.25,4,33940329,62465,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7627488.0,15378.0,496.0,7813337.0,15721.0,497.0,7220349.0,15137.0,477.0,11279155.0,16229.0,695.0,-0.014802321014988795,-0.014794252637887806
2019-1-15,8342317.25,15352.25,4,33369269,61409,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7504480.0,15130.0,496.0,7676165.0,15445.0,497.0,7091559.0,14867.0,477.0,11097065.0,15967.0,695.0,0.015216564705698987,0.015226160560772417
2018-12-15,8217278.5,15122.0,4,32869114,60488,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7392384.0,14904.0,496.0,7560364.0,15212.0,497.0,6984711.0,14643.0,477.0,10931655.0,15729.0,695.0,-0.008873011801302622,-0.008864638122859647
2018-11-15,8290843.25,15257.25,4,33163373,61029,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7458848.0,15038.0,496.0,7627459.0,15347.0,497.0,7046721.0,14773.0,477.0,11030345.0,15871.0,695.0,-0.016667568556073098,-0.016660490147108575
2018-10-15,8431373.75,15515.75,4,33725495,62063,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7585824.0,15294.0,496.0,7756182.0,15606.0,497.0,7165494.0,15022.0,477.0,11217995.0,16141.0,695.0,-0.03801448533532015,-0.038006665116639526
2018-9-15,8764553.75,16128.75,4,35058215,64515,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",7886400.0,15900.0,496.0,8061837.0,16221.0,497.0,7447878.0,15614.0,477.0,11662100.0,16780.0,695.0,-0.05681915461619602,-0.05681203491177034
2018-8-15,9292548.5,17100.25,4,37170194,68401,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",8362064.0,16859.0,496.0,8546909.0,17197.0,497.0,7895781.0,16553.0,477.0,12365440.0,17792.0,695.0,,
2018-7-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2018-6-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2018-5-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2018-4-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2018-3-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2018-2-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2018-1-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2017-12-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2017-11-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2017-10-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2017-9-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2017-8-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2017-7-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2017-6-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2017-5-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2017-4-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2017-3-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2017-2-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2017-1-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2016-12-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2016-11-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2016-10-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2016-9-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2016-8-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2016-7-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2016-6-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2016-5-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2016-4-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2016-3-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2016-2-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
2016-1-15,,,4,,,2165,"SEASIDE SONATA(Block 1),HAI TAN ST|愛海頌1座,海壇街",,,496.0,,,497.0,,,477.0,,,695.0,,
