,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_change,npsf_change
2019-12-15,6083650.833333333,17345.833333333332,12,73003810.0,208150.0,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",5641680.0,17096.0,330.0,4612914.0,17674.0,261.0,7160245.0,16385.0,437.0,6501072.0,17476.0,372.0,7997326.000000001,15559.0,514.0,5692844.0,18188.0,313.0,5916537.0,19921.0,297.0,6492288.0,15312.0,424.0,7154100.0,15898.0,450.0,4834890.0,19035.0,254.0,5483248.0,18037.0,304.0,5516666.0,17569.0,314.0,-0.030775069304263658,-0.030778543490407984
2019-1-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2018-12-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2018-11-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2018-10-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2018-9-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2018-8-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2018-7-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2018-6-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2018-5-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2018-4-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2018-3-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2018-2-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2018-1-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2017-12-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2017-11-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2017-10-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2017-9-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2017-8-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2017-7-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2017-6-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2017-5-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2017-4-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2017-3-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2017-2-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2017-1-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2016-12-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2016-11-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2016-10-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2016-9-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2016-8-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2016-7-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2016-6-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2016-5-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2016-4-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2016-3-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2016-2-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
2016-1-15,,,12,,,4270,"REGENCY BAY(Phase 1),Block 2,HOI WONG RD|御海灣1期,2座,海皇路",,,330.0,,,261.0,,,437.0,,,372.0,,,514.0,,,313.0,,,297.0,,,424.0,,,450.0,,,254.0,,,304.0,,,314.0,,
