,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_change,npsf_change
2016-1-15,17299753.333333332,15753.0,3,51899260,47259,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",15352000.0,15200.0,1010.0,18311820.0,16063.0,1140.0,18235440.0,15996.0,1140.0,0.029608102555984006,0.02960784313725484
2020-11-15,25570133.333333332,23287.333333333332,3,76710400,69862,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",22781560.0,22556.0,1010.0,26964420.0,23653.0,1140.0,26964420.0,23653.0,1140.0,-0.01387598195701989,-0.013875361705130929
2020-12-15,25929936.666666668,23615.0,3,77789810,70845,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",23101730.0,22873.0,1010.0,27344040.0,23986.0,1140.0,27344040.0,23986.0,1140.0,0.0010748164659515336,0.001073916545379916
2021-1-15,25902096.666666668,23589.666666666668,3,77706290,70769,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",23077490.0,22849.0,1010.0,27314400.0,23960.0,1140.0,27314400.0,23960.0,1140.0,0.0035298921802808803,0.0035309132161089885
2021-2-15,25810986.666666668,23506.666666666668,3,77432960,70520,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",22995680.0,22768.0,1010.0,27218640.0,23876.0,1140.0,27218640.0,23876.0,1140.0,-0.01794904411907383,-0.01795039618989258
2021-3-15,26282736.666666668,23936.333333333332,3,78848210,71809,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",23416850.0,23185.0,1010.0,27715680.0,24312.0,1140.0,27715680.0,24312.0,1140.0,-0.006695415414194716,-0.006694977383702505
2021-4-15,26459896.666666668,24097.666666666668,3,79379690,72293,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",23574410.0,23341.0,1010.0,27902640.0,24476.0,1140.0,27902640.0,24476.0,1140.0,0.005801054359337199,0.005801658411709099
2021-5-15,26307286.666666668,23958.666666666668,3,78921860,71876,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",23438060.0,23206.0,1010.0,27741900.0,24335.0,1140.0,27741900.0,24335.0,1140.0,-0.03188057917495646,-0.03188179356976417
2021-6-15,27173596.666666668,24747.666666666668,3,81520790,74243,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",24210710.0,23971.0,1010.0,28655040.0,25136.0,1140.0,28655040.0,25136.0,1140.0,0.007421754414409731,0.007422383847155878
2021-7-15,26973406.666666668,24565.333333333332,3,80920220,73696,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",24031940.0,23794.0,1010.0,28444140.0,24951.0,1140.0,28444140.0,24951.0,1140.0,0.015724991825394108,0.01572600096478527
2021-8-15,26555816.666666668,24185.0,3,79667450,72555,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",23659250.0,23425.0,1010.0,28004100.0,24565.0,1140.0,28004100.0,24565.0,1140.0,-0.014532249032591427,-0.014533106960950781
2021-9-15,26947423.333333332,24541.666666666668,3,80842270,73625,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",24008710.0,23771.0,1010.0,28416780.0,24927.0,1140.0,28416780.0,24927.0,1140.0,0.020259739931938192,0.02025968986876947
2021-10-15,26412316.666666668,24054.333333333332,3,79236950,72163,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",23531990.0,23299.0,1010.0,27852480.0,24432.0,1140.0,27852480.0,24432.0,1140.0,-0.0011070942909761072,-0.0011073737247899729
2021-11-15,26441590.0,24081.0,3,79324770,72243,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",23558250.0,23325.0,1010.0,27883260.0,24459.0,1140.0,27883260.0,24459.0,1140.0,-0.01291212982386536,-0.012911952779144142
2021-12-15,26787473.333333332,24396.0,3,80362420,73188,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",23866300.0,23630.0,1010.0,28248060.0,24779.0,1140.0,28248060.0,24779.0,1140.0,0.04183673032837221,0.041836894475366204
2022-1-15,25711776.666666668,23416.333333333332,3,77135330,70249,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",22907810.0,22681.0,1010.0,27113760.0,23784.0,1140.0,27113760.0,23784.0,1140.0,-0.005689594209395965,-0.005689940694399209
2022-2-15,25858903.333333332,23550.333333333332,3,77576710,70651,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",23039110.0,22811.0,1010.0,27268800.0,23920.0,1140.0,27268800.0,23920.0,1140.0,0.009285350651763391,0.009285581634548068
2022-3-15,25621003.333333332,23333.666666666668,3,76863010,70001,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",22827010.0,22601.0,1010.0,27018000.0,23700.0,1140.0,27018000.0,23700.0,1140.0,-0.00243722323454143,-0.0024368694066009278
2022-4-15,25683600.0,23390.666666666668,3,77050800,70172,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",22882560.0,22656.0,1010.0,27084120.0,23758.0,1140.0,27084120.0,23758.0,1140.0,-0.004242104290502424,-0.004242880049949549
2022-5-15,25793016.666666668,23490.333333333332,3,77379050,70471,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",22980530.0,22753.0,1010.0,27199260.0,23859.0,1140.0,27199260.0,23859.0,1140.0,0.002488632794969581,0.002489473085239613
2022-6-15,25728986.666666668,23432.0,3,77186960,70296,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",22922960.0,22696.0,1010.0,27132000.0,23800.0,1140.0,27132000.0,23800.0,1140.0,0.04289072212251677,0.0428899933239375
2022-7-15,24670836.666666668,22468.333333333332,3,74012510,67405,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",21980630.0,21763.0,1010.0,26015940.0,22821.0,1140.0,26015940.0,22821.0,1140.0,-0.0013932257601857456,-0.001392613223899719
2022-8-15,24705256.666666668,22499.666666666668,3,74115770,67499,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",22010930.0,21793.0,1010.0,26052420.0,22853.0,1140.0,26052420.0,22853.0,1140.0,0.04237498978591425,0.04237510616940776
2022-9-15,23700930.0,21585.0,3,71102790,64755,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",21116070.0,20907.0,1010.0,24993360.0,21924.0,1140.0,24993360.0,21924.0,1140.0,0.03777362360274594,0.03777364659123705
2022-10-15,22838246.666666668,20799.333333333332,3,68514740,62398,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",20347460.0,20146.0,1010.0,24083640.0,21126.0,1140.0,24083640.0,21126.0,1140.0,0.022499552659411837,0.02249897582957794
2022-11-15,22335703.333333332,20341.666666666668,3,67007110,61025,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",19900030.0,19703.0,1010.0,23553540.0,20661.0,1140.0,23553540.0,20661.0,1140.0,-0.004583037339624951,-0.004583564414575969
2022-12-15,22438540.0,20435.333333333332,3,67315620,61306,3290,"MERRY GARDEN(Block A),KENNEDY RD|豐樂新村A座,堅尼地道",19991940.0,19794.0,1010.0,23661840.0,20756.0,1140.0,23661840.0,20756.0,1140.0,,
