,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,15621827.0,20559.2,5,78109135.0,102796.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",9271050.0,16265.0,570.0,48263865.00000001,46995.0,1027.0,7154240.0,12640.0,566.0,5453712.0,13772.0,396.0,7966268.0,13124.0,607.0,-0.020229186121550113,-0.020215980251055643
2019-1-15,12652370.4,17473.6,5,63261852.0,87368.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",8929050.0,15665.0,570.0,34501038.0,33594.0,1027.0,6896710.0,12185.0,566.0,5256504.0,13274.0,396.0,7678550.0,12650.0,607.0,0.01224173410653795,0.012375434530706775
2018-12-15,12499356.6,17260.0,5,62496783.0,86300.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",8794530.0,15429.0,570.0,34100508.0,33204.0,1027.0,6816904.0,12044.0,566.0,5195520.0,13120.0,396.0,7589321.0,12503.0,607.0,-0.03157277113523027,-0.030053723559691603
2018-11-15,12906862.0,17794.8,5,64534310.0,88974.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",8760330.0,15369.0,570.0,35416095.0,34485.0,1027.0,7080094.0,12509.0,566.0,5395896.0,13626.0,396.0,7881895.0,12985.0,607.0,-0.02230760808555332,-0.022306711792888234
2018-10-15,13201352.6,18200.8,5,66006763.0,91004.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",8959830.0,15719.0,570.0,36224344.0,35272.0,1027.0,7241970.0,12795.0,566.0,5519052.0,13937.0,396.0,8061567.0,13281.0,607.0,-0.03680638012452242,-0.03681124446984618
2018-9-15,13705814.0,18896.4,5,68529070.0,94482.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",9302400.0,16320.0,570.0,37607713.0,36619.0,1027.0,7519310.0,13285.0,566.0,5729724.0,14469.0,396.0,8369923.0,13789.0,607.0,-0.026725572369254547,-0.026721331740079846
2018-8-15,14082168.0,19415.2,5,70410840.0,97076.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",9557760.0,16768.0,570.0,38640875.0,37625.0,1027.0,7725900.0,13650.0,566.0,5886936.0,14866.0,396.0,8599369.0,14167.0,607.0,0.01047240765147972,0.010471531175184845
2018-7-15,13936222.2,19214.0,5,69681111.0,96070.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",9458580.0,16594.0,570.0,38240345.0,37235.0,1027.0,7646094.0,13509.0,566.0,5825952.0,14712.0,396.0,8510140.0,14020.0,607.0,0.01500802656365341,0.01678591084204739
2018-6-15,13730159.6,18896.8,5,68650798.0,94484.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",8936460.000000002,15678.0,570.0,37916840.0,36920.0,1027.0,7582136.0,13396.0,566.0,5776848.0,14588.0,396.0,8438514.0,13902.0,607.0,0.04637991130002317,0.051902651911558184
2018-5-15,13121581.8,17964.4,5,65607909.0,89822.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",7449900.0,13070.0,570.0,36928866.0,35958.0,1027.0,7384602.0,13047.0,566.0,5626368.0,14208.0,396.0,8218173.0,13539.0,607.0,0.02181882445568073,0.021819257371678225
2018-4-15,12841397.6,17580.8,5,64206988.0,87904.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",7290870.0,12791.0,570.0,36140130.0,35190.0,1027.0,7227254.0,12769.0,566.0,5505984.0,13904.0,396.0,8042750.0,13250.0,607.0,0.02066960052335265,0.02066787422785743
2018-3-15,12581346.2,17224.8,5,62906731.0,86124.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",7143240.0,12532.0,570.0,35407879.0,34477.0,1027.0,7081226.0,12511.0,566.0,5394312.0,13622.0,396.0,7880074.0,12982.0,607.0,0.011116851947264417,0.011118024818906447
2018-2-15,12443019.0,17035.4,5,62215095.0,85177.0,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",7064580.0,12394.0,570.0,35018646.0,34098.0,1027.0,7003684.0,12374.0,566.0,5334912.0,13472.0,396.0,7793273.0,12839.0,607.0,,
2018-1-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2017-12-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2017-11-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2017-10-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2017-9-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2017-8-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2017-7-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2017-6-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2017-5-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2017-4-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2017-3-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2017-2-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2017-1-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2016-12-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2016-11-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2016-10-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2016-9-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2016-8-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2016-7-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2016-6-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2016-5-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2016-4-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2016-3-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2016-2-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
2016-1-15,,,5,,,3166,"ONTOLO(Block 6A),FO YIN RD|朗濤6A座,科研路",,,570.0,,,1027.0,,,566.0,,,396.0,,,607.0,,
