,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2016-1-15,15947331.333333334,13397.0,3,47841994.0,40191,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",13770404.0,13798.0,998.0,17697908.0,13367.0,1324.0,16373682.0,13026.0,1257.0,0.02930541002664344,0.02927166564228645
2019-2-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2019-3-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2019-4-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2019-5-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2019-6-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2019-7-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2019-8-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2019-9-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2019-10-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2019-11-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2019-12-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2020-1-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2020-2-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2020-3-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2020-4-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2020-5-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2020-6-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2020-7-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2020-8-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2020-9-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2020-10-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2020-11-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2020-12-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2021-1-15,,,3,,,,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",,,,,,,,,,,
2021-2-15,19847891.666666668,16549.666666666668,3,59543675.0,49649,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",15490956.0,15522.0,998.0,22825760.0,17240.0,1324.0,21226959.0,16887.0,1257.0,-0.028186879847391877,-0.02818610659828924
2021-3-15,20423568.333333332,17029.666666666668,3,61270705.0,51089,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",15940056.0,15972.0,998.0,23487760.0,17740.0,1324.0,21842889.0,17377.0,1257.0,-0.03443400076967029,-0.03443518361021336
2021-4-15,21151913.333333332,17637.0,3,63455740.0,52911,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",16508916.0,16542.0,998.0,24325852.0,18373.0,1324.0,22620972.0,17996.0,1257.0,0.007769493763685853,0.007770984515170554
2021-5-15,20988840.666666668,17501.0,3,62966522.0,52503,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",16381172.0,16414.0,998.0,24137844.0,18231.0,1324.0,22447506.0,17858.0,1257.0,-0.007296951728807288,-0.007298303995159738
2021-6-15,21143121.0,17629.666666666668,3,63429363.0,52889,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",16501930.0,16535.0,998.0,24315260.0,18365.0,1324.0,22612173.0,17989.0,1257.0,0.033656136158471295,0.03365450387945357
2021-7-15,20454695.0,17055.666666666668,3,61364085.0,51167,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",15965006.0,15997.0,998.0,23523508.0,17767.0,1324.0,21875571.0,17403.0,1257.0,0.024055508524527758,0.02405683978785156
2021-8-15,19974205.333333332,16655.0,3,59922616.0,49965,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",15589758.0,15621.0,998.0,22971400.0,17350.0,1324.0,21361458.0,16994.0,1257.0,0.02015030659268713,0.020151904936910547
2021-9-15,19579669.0,16326.0,3,58739007.0,48978,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",15281376.0,15312.0,998.0,22517268.0,17007.0,1324.0,20940363.0,16659.0,1257.0,-0.053747014939402815,-0.05374806800618226
2021-10-15,20691791.0,17253.333333333332,3,62075373.0,51760,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",16149636.0,16182.0,998.0,23796252.0,17973.0,1324.0,22129485.0,17605.0,1257.0,-0.0031596477724521455,-0.0031584623680764867
2021-11-15,20757377.0,17308.0,3,62272131.0,51924,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",16200534.0,16233.0,998.0,23871720.0,18030.0,1324.0,22199877.0,17661.0,1257.0,-0.02878741231780446,-0.028786263397115763
2021-12-15,21372640.0,17821.0,3,64117920.0,53463,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",16680572.0,16714.0,998.0,24580060.0,18565.0,1324.0,22857288.0,18184.0,1257.0,0.05654179850042973,0.05653926722263947
2022-1-15,20228863.666666668,16867.333333333332,3,60686591.0,50602,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",15788360.0,15820.0,998.0,23264004.0,17571.0,1324.0,21634227.0,17211.0,1257.0,-0.007494727070658569,-0.00749254668131194
2022-2-15,20381618.333333332,16994.666666666668,3,61144855.0,50984,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",15907122.0,15939.0,998.0,23440096.0,17704.0,1324.0,21797637.0,17341.0,1257.0,-0.02933733848318365,-0.029338410280818517
2022-3-15,20997633.0,17508.333333333332,3,62992899.0,52525,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",16388158.0,16421.0,998.0,24148436.0,18239.0,1324.0,22456305.0,17865.0,1257.0,0.1460840189568382,0.1460833515164739
2022-4-15,18321198.666666668,15276.666666666666,3,54963596.0,45830,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",14299344.0,14328.0,998.0,21070136.0,15914.0,1324.0,19594116.0,15588.0,1257.0,-0.10591403239395314,-0.10591310794201991
2022-5-15,20491540.333333332,17086.333333333332,3,61474621.0,51259,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",15992950.0,16025.0,998.0,23565876.0,17799.0,1324.0,21915795.0,17435.0,1257.0,0.017045725268008738,0.017043650793650666
2022-6-15,20148101.333333332,16800.0,3,60444304.0,50400,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",15725486.0,15757.0,998.0,23171324.0,17501.0,1324.0,21547494.0,17142.0,1257.0,-0.004445762092820993,-0.004444444444444473
2022-7-15,20238075.0,16875.0,3,60714225.0,50625,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",15795346.0,15827.0,998.0,23274596.0,17579.0,1324.0,21644283.0,17219.0,1257.0,0.09810930167694809,0.09810854192876661
2022-8-15,18429927.666666668,15367.333333333334,3,55289783.0,46102,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",14384174.0,14413.0,998.0,21194592.0,16008.0,1324.0,19711017.0,15681.0,1257.0,0.1357676132693839,0.1357690128353577
2022-9-15,16226847.333333334,13530.333333333334,3,48680542.0,40591,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",12664620.0,12690.0,998.0,18661780.0,14095.0,1324.0,17354142.0,13806.0,1257.0,-0.08763754769748922,-0.08763767138682843
2022-10-15,17785527.333333332,14830.0,3,53356582.0,44490,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",13881182.0,13909.0,998.0,20454476.0,15449.0,1324.0,19020924.0,15132.0,1257.0,-0.08076604383083519,-0.08076613153164325
2022-11-15,19348205.333333332,16133.0,3,58044616.0,48399,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",15100738.0,15131.0,998.0,22251144.0,16806.0,1324.0,20692734.0,16462.0,1257.0,0.17189077271792752,0.1718886198547216
2022-12-15,16510246.333333334,13766.666666666666,3,49530739.0,41300,3579.0,"AQUA 33(Block 1),CONSORT RISE|AQUA 331座,金粟街",12886176.0,12912.0,998.0,18987484.0,14341.0,1324.0,17657079.0,14047.0,1257.0,,
