,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,15383640.0,13221.5,2,30767280,26443,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",15200400.0,12667.0,1200.0,15566880.0,13776.0,1130.0,-0.023408836185758508,-0.023414706208220948
2018-3-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2018-2-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2018-1-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2017-12-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2017-11-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2017-10-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2017-9-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2017-8-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2017-7-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2017-6-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2017-5-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2017-4-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2017-3-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2017-2-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2017-1-15,,,2,,,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",,,1200.0,,,1130.0,,
2016-12-15,11558100.0,9920.5,2,23116200,19841,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",11929200.0,9941.0,1200.0,11187000.0,9900.0,1130.0,0.004861687088882238,0.00486199037731061
2016-11-15,11502180.0,9872.5,2,23004360,19745,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",11871600.0,9893.0,1200.0,11132760.0,9852.0,1130.0,-0.05584985111932417,-0.05585042796346773
2016-10-15,12182575.0,10456.5,2,24365150,20913,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",12573600.0,10478.0,1200.0,11791550.0,10435.0,1130.0,0.05722610570894249,0.05722663161619734
2016-9-15,11523150.0,9890.5,2,23046300,19781,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",11893200.0,9911.0,1200.0,11153100.0,9870.0,1130.0,0.013890996918244358,0.013890312660174375
2016-8-15,11365275.0,9755.0,2,22730550,19510,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",11730000.0,9775.0,1200.0,11000550.0,9735.0,1130.0,0.04092098900213226,0.040921944192498616
2016-7-15,10918480.0,9371.5,2,21836960,18743,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",11269200.0,9391.0,1200.0,10567760.0,9352.0,1130.0,-0.07914858302395056,-0.07914906160951163
2016-6-15,11856940.0,10177.0,2,23713880,20354,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",12237600.0,10198.0,1200.0,11476280.0,10156.0,1130.0,0.0796158088896437,0.07961597623720373
2016-5-15,10982555.0,9426.5,2,21965110,18853,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",11335200.0,9446.0,1200.0,10629910.0,9407.0,1130.0,-0.06889466714369763,-0.06875771795505059
2016-4-15,11795180.0,10122.5,2,23590360,20245,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",12231600.0,10193.0,1200.0,11358760.0,10052.0,1130.0,0.10116771475943653,0.10116943160184944
2016-3-15,10711520.0,9192.5,2,21423040,18385,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",11108400.0,9257.0,1200.0,10314640.0,9128.0,1130.0,0.0051913440063062755,0.0051940951339530805
2016-2-15,10656200.0,9145.0,2,21312400,18290,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",11052000.0,9210.0,1200.0,10260400.0,9080.0,1130.0,0.038555756269495145,0.03855544829935842
2016-1-15,10260595.0,8805.5,2,20521190,17611,2330,"CAMBRIDGE BLDG,WATERLOO RD|金碧大廈,窩打老道",10641600.0,8868.0,1200.0,9879590.0,8743.0,1130.0,,
