,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_25,npsf_25,nfa_25,lumpSum_change,npsf_change
2019-12-15,2007202.25,5293.5,4,8028809.0,21174.0,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",1582724.0,5534.0,286.0,2093716.0,5314.0,394.0,2047730.0,5305.0,386.0,2304639.0,5021.0,459.0,-0.03614777914353773,-0.03614348142753099
2018-5-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2018-4-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2018-3-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2018-2-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2018-1-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2017-12-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2017-11-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2017-10-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2017-9-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2017-8-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2017-7-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2017-6-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2017-5-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2017-4-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2017-3-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2017-2-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2017-1-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2016-12-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2016-11-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2016-10-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2016-9-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2016-8-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2016-7-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2016-6-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2016-5-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2016-4-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2016-3-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2016-2-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
2016-1-15,,,4,,,1525.0,"CHING FU COURT(Block B),TSING YI RD|青富苑B座,青衣路",,,286.0,,,394.0,,,386.0,,,459.0,,
