,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2016-1-15,29972577.0,20978.6,5,149862885.0,104893,6825.0,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",21442300.0,19493.0,1100.0,61837805.0,26483.0,2335.0,22570240.0,19712.0,1145.0,21442300.0,19493.0,1100.0,22570240.0,19712.0,1145.0,0.029558922255439546,0.029574008637612836
2020-11-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2020-12-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2021-1-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2021-2-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2021-3-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2021-4-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2021-5-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2021-6-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2021-7-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2021-8-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2021-9-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2021-10-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2021-11-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2021-12-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2022-1-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2022-2-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2022-3-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2022-4-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2022-5-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2022-6-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2022-7-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2022-8-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2022-9-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2022-10-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2022-11-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
2022-12-15,,,5,,,,"HATTON PLACE,PO SHAN RD|杏彤苑,寶珊道",,,,,,,,,,,,,,,,,
