,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2016-1-15,14972958.0,34902.0,1,14972958.0,34902,429.0,23 LEE GARDEN RD|23 利園山道,14972958.0,34902.0,429.0,0.029709396666175003,0.029709396666175003
2020-8-15,5999994.0,13986.0,1,5999994.0,13986,429.0,23 LEE GARDEN RD|23 利園山道,5999994.0,13986.0,429.0,-0.0361794500723589,-0.0361794500723589
2020-9-15,6225219.0,14511.0,1,6225219.0,14511,429.0,23 LEE GARDEN RD|23 利園山道,6225219.0,14511.0,429.0,0.010444955086693186,0.010444955086693186
2020-10-15,6160869.0,14361.0,1,6160869.0,14361,429.0,23 LEE GARDEN RD|23 利園山道,6160869.0,14361.0,429.0,0.02279039954419204,0.02279039954419204
2020-11-15,6023589.0,14041.0,1,6023589.0,14041,429.0,23 LEE GARDEN RD|23 利園山道,6023589.0,14041.0,429.0,-0.014528354856822023,-0.014528354856822023
2020-12-15,6112392.0,14248.0,1,6112392.0,14248,429.0,23 LEE GARDEN RD|23 利園山道,6112392.0,14248.0,429.0,0.0010538888498559107,0.0010538888498559107
2021-1-15,6105957.0,14233.0,1,6105957.0,14233,429.0,23 LEE GARDEN RD|23 利園山道,6105957.0,14233.0,429.0,0.0034545967287085144,0.0034545967287085144
2021-2-15,6084936.0,14184.0,1,6084936.0,14184,429.0,23 LEE GARDEN RD|23 利園山道,6084936.0,14184.0,429.0,-0.01820447151657789,-0.01820447151657789
2021-3-15,6197763.0,14447.0,1,6197763.0,14447,429.0,23 LEE GARDEN RD|23 利園山道,6197763.0,14447.0,429.0,,
2021-4-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2021-5-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2021-6-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2021-7-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2021-8-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2021-9-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2021-10-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2021-11-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2021-12-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2022-1-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2022-2-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2022-3-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2022-4-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2022-5-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2022-6-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2022-7-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2022-8-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2022-9-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2022-10-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2022-11-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
2022-12-15,,,1,,,,23 LEE GARDEN RD|23 利園山道,,,,,
