,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2016-1-15,3071548.0,9782.0,1,3071548.0,9782,314.0,8 PING LAN ST|8 平瀾街,3071548.0,9782.0,314.0,,
2019-5-15,6859958.0,21847.0,1,6859958.0,21847,314.0,8 PING LAN ST|8 平瀾街,6859958.0,21847.0,314.0,-0.03430137470715644,-0.03430137470715644
2019-6-15,7103622.0,22623.0,1,7103622.0,22623,314.0,8 PING LAN ST|8 平瀾街,7103622.0,22623.0,314.0,0.05794051627384955,0.05794051627384955
2019-7-15,6714576.0,21384.0,1,6714576.0,21384,314.0,8 PING LAN ST|8 平瀾街,6714576.0,21384.0,314.0,0.012308274947926634,0.012308274947926634
2019-8-15,6632936.0,21124.0,1,6632936.0,21124,314.0,8 PING LAN ST|8 平瀾街,6632936.0,21124.0,314.0,0.05895327852416288,0.05895327852416288
2019-9-15,6263672.0,19948.0,1,6263672.0,19948,314.0,8 PING LAN ST|8 平瀾街,6263672.0,19948.0,314.0,-0.07831631474379708,-0.07831631474379708
2019-10-15,6795902.0,21643.0,1,6795902.0,21643,314.0,8 PING LAN ST|8 平瀾街,6795902.0,21643.0,314.0,0.09368841275456052,0.09368841275456052
2019-11-15,6213746.0,19789.0,1,6213746.0,19789,314.0,8 PING LAN ST|8 平瀾街,6213746.0,19789.0,314.0,-0.025364460204885697,-0.025364460204885697
2019-12-15,6375456.0,20304.0,1,6375456.0,20304,314.0,8 PING LAN ST|8 平瀾街,6375456.0,20304.0,314.0,0.04171155918116054,0.04171155918116054
2020-1-15,6120174.0,19491.0,1,6120174.0,19491,314.0,8 PING LAN ST|8 平瀾街,6120174.0,19491.0,314.0,0.0058313551450097645,0.0058313551450097645
2020-2-15,6084692.0,19378.0,1,6084692.0,19378,314.0,8 PING LAN ST|8 平瀾街,6084692.0,19378.0,314.0,-0.023729155121164802,-0.023729155121164802
2020-3-15,6232586.0,19849.0,1,6232586.0,19849,314.0,8 PING LAN ST|8 平瀾街,6232586.0,19849.0,314.0,0.02140688519528644,0.02140688519528644
2020-4-15,6101962.0,19433.0,1,6101962.0,19433,314.0,8 PING LAN ST|8 平瀾街,6101962.0,19433.0,314.0,-0.04365157480314963,-0.04365157480314963
2020-5-15,6380480.0,20320.0,1,6380480.0,20320,314.0,8 PING LAN ST|8 平瀾街,6380480.0,20320.0,314.0,-0.0037262208276132025,-0.0037262208276132025
2020-6-15,6404344.0,20396.0,1,6404344.0,20396,314.0,8 PING LAN ST|8 平瀾街,6404344.0,20396.0,314.0,0.027040636487235092,0.027040636487235092
2020-7-15,6235726.0,19859.0,1,6235726.0,19859,314.0,8 PING LAN ST|8 平瀾街,6235726.0,19859.0,314.0,0.012336238976398128,0.012336238976398128
2020-8-15,6159738.0,19617.0,1,6159738.0,19617,314.0,8 PING LAN ST|8 平瀾街,6159738.0,19617.0,314.0,-0.03173741362290228,-0.03173741362290228
2020-9-15,6361640.0,20260.0,1,6361640.0,20260,314.0,8 PING LAN ST|8 平瀾街,6361640.0,20260.0,314.0,0.031568228105906204,0.031568228105906204
2020-10-15,6166960.0,19640.0,1,6166960.0,19640,314.0,8 PING LAN ST|8 平瀾街,6166960.0,19640.0,314.0,-0.025648658034429728,-0.025648658034429728
2020-11-15,6329298.0,20157.0,1,6329298.0,20157,314.0,8 PING LAN ST|8 平瀾街,6329298.0,20157.0,314.0,,
2020-12-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2021-1-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2021-2-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2021-3-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2021-4-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2021-5-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2021-6-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2021-7-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2021-8-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2021-9-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2021-10-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2021-11-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2021-12-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2022-1-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2022-2-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2022-3-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2022-4-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2022-5-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2022-6-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2022-7-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2022-8-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2022-9-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2022-10-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2022-11-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
2022-12-15,,,1,,,,8 PING LAN ST|8 平瀾街,,,,,
