,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,8090325.0,28784.8,5,40451625.0,143924.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",8616876.0,28068.0,307.0,9511500.0,27975.0,340.0,6490323.0,30471.0,213.0,6367422.0,29894.0,213.0,9465504.0,27516.0,344.0,-0.07104886334706328,-0.07105652120594064
2019-1-15,7669406.8,27290.2,5,38347034.0,136451.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",8167735.0,26605.0,307.0,9033120.0,26568.0,340.0,6161451.0,28927.0,213.0,6035568.0,28336.0,213.0,8949160.0,26015.0,344.0,0.0432472347933186,0.043235267133551414
2018-12-15,7351475.8,26159.2,5,36757379.0,130796.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",7829114.0,25502.0,307.0,8660480.0,25472.0,340.0,5906916.0,27732.0,213.0,5785293.0,27161.0,213.0,8575576.0,24929.0,344.0,-0.14559632749442997,-0.14560443149602187
2018-11-15,8604218.4,30617.2,5,43021092.0,153086.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",9163029.0,29847.0,307.0,10138120.0,29818.0,340.0,6914406.0,32462.0,213.0,6771057.0,31789.0,213.0,10034480.0,29170.0,344.0,-0.061362204651052576,-0.06137489576691024
2018-10-15,9166707.8,32619.2,5,45833539.0,163096.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",9761986.0,31798.0,307.0,10802820.0,31773.0,340.0,7367670.0,34590.0,213.0,7213671.0,33867.0,213.0,10687392.0,31068.0,344.0,0.05488757177624226,0.05512534368429578
2018-9-15,8689748.6,30915.0,5,43448743.0,154575.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",9349685.0,30455.0,307.0,10213940.0,30041.0,340.0,6965739.000000001,32703.0,213.0,6819195.0,32015.0,213.0,10100184.0,29361.0,344.0,-0.0638899683611509,-0.06390232972197163
2018-8-15,9282828.2,33025.4,5,46414141.0,165127.0,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",9987324.0,32532.0,307.0,10913320.0,32098.0,340.0,7442432.999999999,34941.0,213.0,7284600.0,34200.0,213.0,10786464.0,31356.0,344.0,,
2018-7-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2018-6-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2018-5-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2018-4-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2018-3-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2018-2-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2018-1-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2017-12-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2017-11-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2017-10-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2017-9-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2017-8-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2017-7-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2017-6-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2017-5-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2017-4-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2017-3-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2017-2-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2017-1-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2016-12-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2016-11-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2016-10-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2016-9-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2016-8-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2016-7-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2016-6-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2016-5-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2016-4-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2016-3-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2016-2-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
2016-1-15,,,5,,,1417,"15 WESTERN STREET,WESTERN ST|15 WESTERN STREET,西邊街",,,307.0,,,340.0,,,213.0,,,213.0,,,344.0,,
