,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,23983471.666666668,20350.333333333332,3,71950415.0,61051.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",19636500.0,19875.0,988.0,32499120.0,21381.0,1520.0,19814795.0,19795.0,1001.0,-0.0010020329178969112,-0.0010145140968370603
2019-1-15,21828108.0,18525.333333333332,3,65484324.0,55576.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",17943068.0,18161.0,988.0,29547280.0,19439.0,1520.0,17993976.0,17976.0,1001.0,0.03646120934437547,0.03645959605378479
2018-12-15,21060226.666666668,17873.666666666668,3,63180680.0,53621.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",17311736.0,17522.0,988.0,28507600.0,18755.0,1520.0,17361344.0,17344.0,1001.0,-0.050855752193152304,-0.05085495804864226
2018-11-15,22188647.0,18831.333333333332,3,66565941.0,56494.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",18239468.0,18461.0,988.0,30035200.0,19760.0,1520.0,18291273.0,18273.0,1001.0,-0.05019907654372613,-0.05138193908049837
2018-10-15,23361366.0,19851.333333333332,3,70084098.0,59554.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",19309472.0,19544.0,988.0,31409280.0,20664.0,1520.0,19365346.0,19346.0,1001.0,-0.047881078496922025,-0.047882460151241535
2018-9-15,24536185.0,20849.666666666668,3,73608555.0,62549.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",20280676.0,20527.0,988.0,32988559.999999996,21703.0,1520.0,20339319.0,20319.0,1001.0,-0.02958814944219279,-0.029586074221173986
2018-8-15,25284300.666666668,21485.333333333332,3,75852902.0,64456.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",20899164.0,21153.0,988.0,33994800.0,22365.0,1520.0,20958938.0,20938.0,1001.0,0.008459300392405389,0.008464366737072515
2018-7-15,25072207.333333332,21305.0,3,75216622.0,63915.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",20723300.0,20975.0,988.0,33710560.0,22178.0,1520.0,20782762.0,20762.0,1001.0,0.049608685043737166,0.04961079909350685
2018-6-15,23887195.0,20298.0,3,71661585.0,60894.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",19743204.0,19983.0,988.0,32117600.0,21130.0,1520.0,19800781.0,19781.0,1001.0,9.79421172135897e-05,9.854158454869477e-05
2018-5-15,23884855.666666668,20296.0,3,71654567.0,60888.0,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",19741228.0,19981.0,988.0,32114560.0,21128.0,1520.0,19798779.0,19779.0,1001.0,,
2018-4-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2018-3-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2018-2-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2018-1-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2017-12-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2017-11-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2017-10-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2017-9-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2017-8-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2017-7-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2017-6-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2017-5-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2017-4-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2017-3-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2017-2-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2017-1-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2016-12-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2016-11-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2016-10-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2016-9-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2016-8-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2016-7-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2016-6-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2016-5-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2016-4-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2016-3-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2016-2-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
2016-1-15,,,3,,,3509,"ST. MORITZ(Block APEX 2),LAI PING RD|雲端APEX 2座,麗坪路",,,988.0,,,1520.0,,,1001.0,,
