,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,lumpSum_change,npsf_change
2019-12-15,4630147.866666666,16610.533333333333,15,69452218.0,249158.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5062211.0,15869.0,319.0,5195910.0,16761.0,310.0,4893812.0,15889.0,308.0,5117420.0,16615.0,308.0,4977670.0,16057.0,310.0,4094172.0,18036.0,227.0,5730200.0,16372.0,350.0,5067332.0,16138.0,314.0,3890904.0000000005,17448.0,223.0,4899521.0,15359.0,319.0,4994264.0,15656.0,319.0,3805523.9999999995,17142.0,222.0,4015560.9999999995,18007.0,223.0,3786094.0,16978.0,223.0,3921623.0,16831.0,233.0,-0.030828966981655714,-0.030822850296792437
2019-1-15,4578416.933333334,16423.333333333332,15,68676254.0,246350.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",4999049.0,15671.0,319.0,5137010.0,16571.0,310.0,4838680.0,15710.0,308.0,5064136.0,16442.0,308.0,4932410.0,15911.0,310.0,4043551.0,17813.0,227.0,5664400.0,16184.0,350.0,5011440.0,15960.0,314.0,3838722.0,17214.0,223.0,4856137.0,15223.0,319.0,4941948.0,15492.0,319.0,3759792.0,16936.0,222.0,3974975.0,17825.0,223.0,3740379.0,16773.0,223.0,3873625.0,16625.0,233.0,0.010067560703657996,0.010078231348301658
2018-12-15,4532782.866666666,16259.466666666667,15,67991743.0,243892.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",4948328.0,15512.0,319.0,5085860.0,16406.0,310.0,4790324.0,15553.0,308.0,5013932.0,16279.0,308.0,4884360.0,15756.0,310.0,4002917.9999999995,17634.0,227.0,5607700.0,16022.0,350.0,4961828.0,15802.0,314.0,3799474.0000000005,17038.0,223.0,4808925.0,15075.0,319.0,4893141.0,15339.0,319.0,3721830.0,16765.0,222.0,3935727.0000000005,17649.0,223.0,3702915.0,16605.0,223.0,3834481.0000000005,16457.0,233.0,-0.045837565721357665,-0.04582834518751522
2018-11-15,4750535.866666666,17040.4,15,71258038.0,255606.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5185345.0,16255.0,319.0,5330140.0,17194.0,310.0,5020400.0,16300.0,308.0,5255404.0,17063.0,308.0,5119960.0,16516.0,310.0,4194733.0,18479.0,227.0,5876850.0,16791.0,350.0,5200154.0,16561.0,314.0,3980996.0,17852.0,223.0,5041157.0,15803.0,319.0,5128563.0,16077.0,319.0,3900318.0,17569.0,222.0,4125277.0,18499.0,223.0,3880422.9999999995,17401.0,223.0,4018318.0,17246.0,233.0,-0.0003502237412754683,-0.0003402517863217991
2018-10-15,4752200.2,17046.2,15,71283003.0,255693.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5186621.0,16259.0,319.0,5332000.0,17200.0,310.0,5021940.0,16305.0,308.0,5257560.0,17070.0,308.0,5123060.0,16526.0,310.0,4195641.0,18483.0,227.0,5878600.0,16796.0,350.0,5202038.0,16567.0,314.0,3981664.9999999995,17855.0,223.0,5044028.0,15812.0,319.0,5130796.0,16084.0,319.0,3901428.0,17574.0,222.0,4127061.0,18507.0,223.0,3881315.0,17405.0,223.0,4019250.0,17250.0,233.0,-0.07712376297652646,-0.07711381732344846
2018-9-15,5149336.4,18470.533333333333,15,77240046.0,277058.0,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",5619185.0,17615.0,319.0,5777470.0,18637.0,310.0,5441744.0,17668.0,308.0,5697384.0,18498.0,308.0,5552410.0,17911.0,310.0,4545675.0,20025.0,227.0,6369650.0,18199.0,350.0,5636928.0,17952.0,314.0,4313266.0,19342.0,223.0,5467022.0,17138.0,319.0,5559851.0,17429.0,319.0,4227102.0,19041.0,222.0,4472488.0,20056.0,223.0,4205334.0,18858.0,223.0,4354537.0,18689.0,233.0,,
2018-8-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2018-7-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2018-6-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2018-5-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2018-4-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2018-3-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2018-2-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2018-1-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-12-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-11-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-10-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-9-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-8-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-7-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-6-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-5-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-4-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-3-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-2-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2017-1-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-12-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-11-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-10-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-9-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-8-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-7-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-6-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-5-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-4-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-3-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-2-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
2016-1-15,,,15,,,4208,"EMERALD BAY(Phase 2),Block 5,KWUN CHUI RD|恆大•珺瓏灣2期,5座,管翠路",,,319.0,,,310.0,,,308.0,,,308.0,,,310.0,,,227.0,,,350.0,,,314.0,,,223.0,,,319.0,,,319.0,,,222.0,,,223.0,,,223.0,,,233.0,,
