,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,5853266.428571428,15599.57142857143,7,40972865.0,109197.0,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",6508905.0,14963.0,435.0,6880032.0,15926.0,432.0,8457089.0,14657.0,577.0,4838825.0,15865.0,305.0,4735263.0,15837.0,299.0,4719715.0,15785.0,299.0,4833036.0,16164.0,299.0,-0.03619283884662117,-0.03618807205839514
2017-12-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2017-11-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2017-10-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2017-9-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2017-8-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2017-7-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2017-6-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2017-5-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2017-4-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2017-3-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2017-2-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2017-1-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2016-12-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2016-11-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2016-10-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2016-9-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2016-8-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2016-7-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2016-6-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2016-5-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2016-4-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2016-3-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2016-2-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
2016-1-15,,,7,,,2646,"THE GRAND MARINE(Block 1A),SAI SHAN RD|明翹匯1A座,細山路",,,435.0,,,432.0,,,577.0,,,305.0,,,299.0,,,299.0,,,299.0,,
