,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,6225543.999999999,15448.0,403.0,6251615.0,23591.0,265.0,6347018.0,22831.0,278.0,6269582.0,22154.0,283.0,,
2019-1-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,8815222.0,21874.0,403.0,8985885.0,33909.0,265.0,9123682.0,32819.0,278.0,9012135.0,31845.0,283.0,,
2018-12-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,7613073.0,18891.0,403.0,7760525.0,29285.0,265.0,7879632.0,28344.0,278.0,7783349.0,27503.0,283.0,,
2018-11-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2018-10-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2018-9-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2018-8-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2018-7-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2018-6-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2018-5-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2018-4-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2018-3-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2018-2-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2018-1-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2017-12-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2017-11-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2017-10-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2017-9-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2017-8-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2017-7-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2017-6-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2017-5-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2017-4-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2017-3-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2017-2-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2017-1-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2016-12-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2016-11-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2016-10-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2016-9-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2016-8-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2016-7-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2016-6-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2016-5-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2016-4-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2016-3-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2016-2-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
2016-1-15,,,5,,,1845,"AYTON(Block 2),INVERNESS RD|雋睿2座,延文禮士道",,,616.0,,,403.0,,,265.0,,,278.0,,,283.0,,
