,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_E,npsf_E,nfa_E,lumpSum_K,npsf_K,nfa_K,lumpSum_change,npsf_change
2019-12-15,8061848.0,16162.0,2,16123696.0,32324.0,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",9305456.0,15934.0,584.0,6818239.999999999,16390.0,416.0,-0.04990866600513355,-0.04990888248780201
2018-12-15,7647100.0,15321.5,2,15294200.0,30643.0,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",8852856.0,15159.0,584.0,6441344.0,15484.0,416.0,,
2018-11-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2018-10-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2018-9-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2018-8-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2018-7-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2018-6-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2018-5-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2018-4-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2018-3-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2018-2-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2018-1-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2017-12-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2017-11-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2017-10-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2017-9-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2017-8-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2017-7-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2017-6-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2017-5-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2017-4-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2017-3-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2017-2-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2017-1-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2016-12-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2016-11-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2016-10-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2016-9-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2016-8-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2016-7-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2016-6-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2016-5-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2016-4-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2016-3-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2016-2-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
2016-1-15,,,2,,,1000,"ALTO RESIDENCES(Block 7),TONG YIN ST|藍塘傲7座,唐賢街",,,584.0,,,416.0,,
