,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_change,npsf_change
2019-12-15,8868562.5,18707.785714285714,14,124159875.0,261909.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",10167980.0,17531.0,580.0,7832325.0,18429.0,425.0,10484789.0,17801.0,589.0,9976351.0,17171.0,581.0,7771072.0,18328.0,424.0,10059117.0,20487.0,491.0,10575670.0,21583.0,490.0,10245426.0,18903.0,542.0,7238620.0,19049.0,380.0,7813673.0,18299.0,427.0,6839707.0,16723.0,409.0,7800841.0,19951.0,391.0,7581024.0,19144.0,396.0,9773280.0,18510.0,528.0,0.16912359738337135,0.1691009079303294
2019-1-15,8388065.714285715,17767.14285714286,14,117432920.0,248740.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",9819980.0,16931.0,580.0,7377150.0,17358.0,425.0,10269804.0,17436.0,589.0,9648667.0,16607.0,581.0,7124896.0,16804.0,424.0,7569256.0,15416.0,491.0,7848820.0,16018.0,490.0,10253014.0,18917.0,542.0,7215440.0,18988.0,380.0,7484456.0,17528.0,427.0,8015991.0,19599.0,409.0,7772298.0,19878.0,391.0,7920396.0,20001.0,396.0,9112752.0,17259.0,528.0,-0.14582769242429539,-0.14343370340780726
2018-12-15,9820109.642857144,20742.285714285714,14,137481535.0,290392.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",10870940.0,18743.0,580.0,8164675.000000001,19211.0,425.0,11371234.0,19306.0,589.0,10677618.0,18378.0,581.0,7885127.999999999,18597.0,424.0,11690710.0,23810.0,491.0,11689930.0,23857.0,490.0,12512070.0,23085.0,542.0,7989500.0,21025.0,380.0,8286362.000000001,19406.0,427.0,8879390.0,21710.0,409.0,8604346.0,22006.0,391.0,8773776.0,22156.0,396.0,10085856.0,19102.0,528.0,1.9223522998356102,1.9223306833048204
2018-11-15,3360344.214285714,7097.857142857143,14,47044819.0,99370.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",3719540.0,6413.0,580.0,2792675.0,6571.0,425.0,3891523.0,6607.0,589.0,3652166.0,6286.0,581.0,2697064.0,6361.0,424.0,4001650.0,8150.0,491.0,4001340.0,8166.0,490.0,4282342.0,7901.0,542.0,2734100.0,7195.0,380.0,2835280.0,6640.0,427.0,3039688.0,7432.0,409.0,2943839.0,7529.0,391.0,3003660.0,7585.0,396.0,3449952.0,6534.0,528.0,-0.6655528337665642,-0.6654940837863768
2018-10-15,10047459.07142857,21218.928571428572,14,140664427.0,297065.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",11126720.0,19184.0,580.0,8352525.000000001,19653.0,425.0,11642763.0,19767.0,589.0,11116854.0,19134.0,581.0,8065328.000000001,19022.0,424.0,11975981.0,24391.0,491.0,11690910.0,23859.0,490.0,12814506.0,23643.0,542.0,8180639.999999999,21528.0,380.0,8483209.0,19867.0,427.0,9098614.0,22246.0,409.0,8806493.0,22523.0,391.0,8991180.0,22705.0,396.0,10318704.0,19543.0,528.0,-0.14825569637091085,-0.14935198813362272
2018-9-15,11796332.57142857,24944.428571428572,14,165148656.0,349222.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",12997800.0,22410.0,580.0,9754600.0,22952.0,425.0,13603544.0,23096.0,589.0,12754693.0,21953.0,581.0,9418736.0,22214.0,424.0,13995464.0,28504.0,491.0,13663650.0,27885.0,490.0,14973292.0,27626.0,542.0,9558140.0,25153.0,380.0,9910670.0,23210.0,427.0,11562430.0,28270.0,409.0,10395517.0,26587.0,391.0,10509048.0,26538.0,396.0,12051072.0,22824.0,528.0,0.1968183374555721,0.1948854460350915
2018-8-15,9856410.285714285,20876.0,14,137989744.0,292264.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",11194580.0,19301.0,580.0,8399275.0,19763.0,425.0,11718155.0,19895.0,589.0,10982062.0,18902.0,581.0,8109424.000000001,19126.0,424.0,11378434.0,23174.0,491.0,8958180.0,18282.0,490.0,12128876.0,22378.0,542.0,8233460.000000001,21667.0,380.0,8536584.0,19992.0,427.0,9960377.0,24353.0,409.0,8956637.0,22907.0,391.0,9056916.0,22871.0,396.0,10376784.0,19653.0,528.0,0.421222415092388,0.8600613520359457
2018-7-15,6935163.82871963,11223.285714285714,14,97092293.60207482,157126.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",8517841.841858126,11269.0,580.0,6645290.746954701,11998.0,425.0,8881061.002715083,11570.0,589.0,8827066.182749435,11658.0,581.0,5919058.333272132,10712.0,424.0,6919648.86334898,10814.0,491.0,7222927.935639129,11311.0,490.0,7433551.000256041,10524.0,542.0,6222462.5142395515,12565.0,380.0,6392761.488313476,11488.0,427.0,5429824.760449107,10187.0,409.0,6378127.682718906,12517.0,391.0,5436832.149591685,10535.0,396.0,6865839.099968464,9978.0,528.0,-0.022410314584542568,-0.17026546055584602
2018-6-15,7094145.869360635,13526.357142857143,14,99318042.1710489,189369.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",8714107.726743655,13583.0,580.0,6799493.664473924,14464.0,425.0,9085169.696771106,13945.0,589.0,9031178.142120158,14053.0,581.0,6053743.8882282125,12908.0,424.0,7077151.085600601,13031.0,491.0,7386850.368464732,13629.0,490.0,7602422.811081964,12681.0,542.0,6367047.99114904,15148.0,380.0,6540548.345494875,13848.0,427.0,5553209.258711237,12275.0,409.0,6524542.900198653,15086.0,391.0,5560231.965842248,12694.0,396.0,7022344.326168498,12024.0,528.0,-0.022583469372615794,-0.06547668984440158
2018-5-15,7258057.999906185,14474.07142857143,14,101612811.9986866,202637.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",8964899.536509432,14628.0,580.0,6338730.600157235,14115.0,425.0,9346111.489552382,15017.0,589.0,9291611.429641996,15135.0,581.0,6225251.327326264,13895.0,424.0,7277442.303273049,14027.0,491.0,7596058.1194147775,14671.0,490.0,7818010.242108487,13651.0,542.0,6550531.455342335,16314.0,380.0,6728610.279584397,14913.0,427.0,5710277.642846352,13213.0,409.0,6711231.504033849,16244.0,391.0,5717491.414396397,13664.0,396.0,7336554.6544996705,13150.0,528.0,-0.1994303088861834,-0.030064427191529686
2018-4-15,9066116.392450724,14922.714285714286,14,126925629.49431013,208918.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",11179192.36758355,15059.0,580.0,7901713.38034712,14526.0,425.0,11654214.160322186,15459.0,589.0,11587390.282022903,15582.0,581.0,7759930.387094522,14299.0,424.0,9071614.424253069,14435.0,491.0,9469576.736502007,15099.0,490.0,9745409.384450933,14048.0,542.0,8169615.580481638,16797.0,380.0,8390878.40232223,15353.0,427.0,7117913.535085183,13597.0,409.0,8362565.0653140815,16710.0,391.0,7127358.140382553,14062.0,396.0,9388257.648148147,13892.0,528.0,0.10511780920117886,-0.03865303380299834
2018-3-15,8203755.578786715,15522.714285714286,14,114852578.103014,217318.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",10038010.2428735,15528.0,580.0,7833864.153472794,16538.0,425.0,10464240.931493796,15940.0,589.0,10406294.868261306,16070.0,581.0,6965270.610061257,14739.0,424.0,8143077.008302378,14880.0,491.0,8499502.697110195,15563.0,490.0,8747862.711771138,14481.0,542.0,7336446.408521292,17322.0,380.0,7534731.394736201,15832.0,427.0,6389274.035526814,14016.0,409.0,7508288.418198581,17229.0,391.0,6559146.614664927,14861.0,396.0,8426568.008019835,14319.0,528.0,0.1338314120844959,0.2620679241776622
2018-2-15,7235428.028673588,12299.42857142857,14,101295992.40143023,172192.0,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",8751629.856750699,12168.0,580.0,6830235.503381234,12960.0,425.0,9122617.793487547,12490.0,589.0,9072920.017839579,12593.0,581.0,6070705.379038642,11546.0,424.0,7096966.864280886,11656.0,491.0,7407593.77281102,12191.0,490.0,7623755.597794209,11343.0,542.0,6396835.483695006,13575.0,380.0,6569561.822298939,12407.0,427.0,5568366.8549334835,10979.0,409.0,6444790.978863263,13292.0,391.0,6070516.89033194,12362.0,396.0,8269495.585923789,12630.0,528.0,,
2018-1-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2017-12-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2017-11-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2017-10-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2017-9-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2017-8-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2017-7-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2017-6-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2017-5-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2017-4-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2017-3-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2017-2-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2017-1-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2016-12-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2016-11-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2016-10-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2016-9-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2016-8-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2016-7-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2016-6-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2016-5-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2016-4-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2016-3-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2016-2-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
2016-1-15,,,14,,,6653,"PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",,,580.0,,,425.0,,,589.0,,,581.0,,,424.0,,,491.0,,,490.0,,,542.0,,,380.0,,,427.0,,,409.0,,,391.0,,,396.0,,,528.0,,
