,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2016-1-15,9533426.25,13036.0,4,38133705.0,52144,2925.0,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",10013085.0,13089.0,765.0,9585870.0,13042.0,735.0,9443850.0,13026.0,725.0,9090900.0,12987.0,700.0,0.029577984237350696,0.029577854124708702
2021-5-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2021-6-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2021-7-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2021-8-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2021-9-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2021-10-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2021-11-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2021-12-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2022-1-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2022-2-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2022-3-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2022-4-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2022-5-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2022-6-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2022-7-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2022-8-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2022-9-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2022-10-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2022-11-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
2022-12-15,,,4,,,,"GREENLAND GARDEN(Block A),LYTTELTON RD|碧翠園A座,列堤頓道",,,,,,,,,,,,,,
