,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_BC,npsf_BC,nfa_BC,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,23389118.14285714,25525.428571428572,7,163723827.0,178678.0,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",35242722.0,30726.0,1147.0,22558338.0,25318.0,891.0,51509005.0,35795.0,1439.0,11733776.0,21412.0,548.0,10604208.0,20432.0,519.0,11190900.0,21316.0,525.0,20884878.0,23679.0,882.0,-0.017011717988719033,-0.017037546417273952
2018-4-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2018-3-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2018-2-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2018-1-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2017-12-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2017-11-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2017-10-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2017-9-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2017-8-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2017-7-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2017-6-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2017-5-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2017-4-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2017-3-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2017-2-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2017-1-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2016-12-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2016-11-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2016-10-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2016-9-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2016-8-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2016-7-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2016-6-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2016-5-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2016-4-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2016-3-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2016-2-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
2016-1-15,,,7,,,5951,"VIBE CENTRO(Block 2A),MUK NING ST|龍譽2A座,沐寧街",,,1147.0,,,891.0,,,1439.0,,,548.0,,,519.0,,,525.0,,,882.0,,
