,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_E,npsf_E,nfa_E,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_change,npsf_change
2019-12-15,5864414.833333333,23932.5,6,35186489,143595,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8548687.0,20699.0,413.0,5851677.0,23691.0,247.0,6192415.0,24095.0,257.0,4898533.0,25381.0,193.0,4894287.0,25359.0,193.0,4800890.0,24370.0,197.0,-0.030547442686315596,-0.03054300933708709
2019-1-15,5604538.166666667,22823.166666666668,6,33627229,136939,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",8303778.0,20106.0,413.0,5560217.0,22511.0,247.0,5888898.0,22914.0,257.0,4658055.0,24135.0,193.0,4656125.0,24125.0,193.0,4560156.0,23148.0,197.0,0.05160392038223893,0.051080715974332946
2018-12-15,5329514.333333333,21714.0,6,31977086,130284,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",7866824.0,19048.0,413.0,5293457.0,21431.0,247.0,5606969.0,21817.0,257.0,4434947.0,22979.0,193.0,4433403.0,22971.0,193.0,4341486.0,22038.0,197.0,,
2018-11-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2018-10-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2018-9-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2018-8-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2018-7-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2018-6-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2018-5-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2018-4-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2018-3-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2018-2-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2018-1-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2017-12-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2017-11-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2017-10-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2017-9-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2017-8-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2017-7-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2017-6-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2017-5-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2017-4-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2017-3-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2017-2-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2017-1-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2016-12-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2016-11-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2016-10-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2016-9-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2016-8-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2016-7-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2016-6-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2016-5-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2016-4-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2016-3-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2016-2-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
2016-1-15,,,6,,,1500,"AQUILA.SQUARE MILE(Block 2),FUK CHAK ST|利奧坊•曦岸2座,福澤街",,,413.0,,,247.0,,,257.0,,,193.0,,,193.0,,,197.0,,
