,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,14397729.666666666,22451.333333333332,6,86386378.0,134708.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",21663008.0,22472.0,964.0,9948922.0,22307.0,446.0,7816718.0,20734.0,377.0,18264402.0,22802.0,801.0,14642808.0,23169.0,632.0,14050520.0,23224.0,605.0,-0.016863719079500017,-0.01691649759899594
2019-1-15,13946422.166666666,21810.666666666668,6,83678533.0,130864.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",21080752.0,21868.0,964.0,9883360.0,22160.0,446.0,7603713.0,20169.0,377.0,16984404.0,21204.0,801.0,14540424.0,23007.0,632.0,13585880.0,22456.0,605.0,0.033485020009302424,0.03378703974341768
2018-12-15,13494556.666666666,21097.833333333332,6,80967340.0,126587.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",20220864.0,20976.0,964.0,9485082.0,21267.0,446.0,7293442.0,19346.0,377.0,16544655.0,20655.0,801.0,13945712.0,22066.0,632.0,13477585.0,22277.0,605.0,-0.11782681082455204,-0.10756812013112904
2018-11-15,15296947.166666666,23640.833333333332,6,91781683.0,141845.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",23774168.0,24662.0,964.0,10221874.0,22919.0,446.0,7856303.0,20839.0,377.0,19884024.0,24824.0,801.0,15020744.0,23767.0,632.0,15024570.0,24834.0,605.0,0.021253977412541758,0.02170248933963337
2018-10-15,14978592.5,23138.666666666668,6,89871555.0,138832.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",23510996.0,24389.0,964.0,10138472.000000002,22732.0,446.0,7643298.0,20274.0,377.0,19351359.0,24159.0,801.0,14611840.0,23120.0,632.0,14615590.0,24158.0,605.0,-0.033540512612007634,0.16395586706462328
2018-9-15,15498417.363030896,19879.333333333332,6,92990504.17818537,119276.0,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",24820148.06045988,21333.0,964.0,10523961.122395786,19551.0,446.0,7984893.440568132,17549.0,377.0,18644471.57972567,19286.0,801.0,15750396.935040716,20649.0,632.0,15266633.039995188,20908.0,605.0,,
2018-8-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2018-7-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2018-6-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2018-5-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2018-4-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2018-3-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2018-2-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2018-1-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2017-12-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2017-11-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2017-10-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2017-9-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2017-8-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2017-7-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2017-6-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2017-5-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2017-4-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2017-3-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2017-2-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2017-1-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2016-12-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2016-11-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2016-10-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2016-9-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2016-8-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2016-7-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2016-6-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2016-5-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2016-4-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2016-3-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2016-2-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
2016-1-15,,,6,,,3825,"K. CITY(Block 9),MUK NING ST|嘉匯9座,沐寧街",,,964.0,,,446.0,,,377.0,,,801.0,,,632.0,,,605.0,,
