,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,11683799.666666666,13972.0,3,35051399.0,41916.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",12977708.0,14549.0,892.0,9369780.0,12748.0,735.0,12703911.0,14619.0,869.0,-0.04995976787635348,-0.04995466908431545
2019-1-15,10936040.333333334,13077.666666666666,3,32808121.0,39233.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",12154392.0,13626.0,892.0,8769285.0,11931.0,735.0,11884444.0,13676.0,869.0,-0.04926723748094186,-0.04926573934958567
2018-12-15,11502749.0,13755.333333333334,3,34508247.0,41266.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",12785036.0,14333.0,892.0,9223515.0,12549.0,735.0,12499696.0,14384.0,869.0,-0.07338199269295997,-0.07338213499797896
2018-11-15,12413690.333333334,14844.666666666666,3,37241071.0,44534.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",13798348.0,15469.0,892.0,9954105.0,13543.0,735.0,13488618.0,15522.0,869.0,0.09837272973490552,0.09835742120061153
2018-10-15,11301892.333333334,13515.333333333334,3,33905677.0,40546.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",12569172.0,14091.0,892.0,9066225.0,12335.0,735.0,12270280.0,14120.0,869.0,-0.05844845344950189,-0.05844924877505053
2018-9-15,12003477.0,14354.333333333334,3,36010431.0,43063.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",13349672.0,14966.0,892.0,9629235.0,13101.0,735.0,13031524.0,14996.0,869.0,-0.08907758408660604,-0.08907644794178615
2018-8-15,13177277.0,15758.0,3,39531831.0,47274.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",14656452.0,16431.0,892.0,10570770.0,14382.0,735.0,14304609.0,16461.0,869.0,0.05623548177657356,0.056237013204638364
2018-7-15,12475700.0,14919.0,3,37427100.0,44757.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",13876844.0,15557.0,892.0,10007760.0,13616.0,735.0,13542496.0,15584.0,869.0,0.008632357519775091,0.00863118042096711
2018-6-15,12368927.0,14791.333333333334,3,37106781.0,44374.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",13759100.0,15425.0,892.0,9922500.0,13500.0,735.0,13425181.0,15449.0,869.0,0.048829762282505795,0.048832372128202683
2018-5-15,11793074.0,14102.666666666666,3,35379222.0,42308.0,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",13119536.0,14708.0,892.0,9460185.0,12871.0,735.0,12799501.0,14729.0,869.0,,
2018-4-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2018-3-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2018-2-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2018-1-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2017-12-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2017-11-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2017-10-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2017-9-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2017-8-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2017-7-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2017-6-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2017-5-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2017-4-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2017-3-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2017-2-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2017-1-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2016-12-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2016-11-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2016-10-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2016-9-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2016-8-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2016-7-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2016-6-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2016-5-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2016-4-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2016-3-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2016-2-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
2016-1-15,,,3,,,2496,"THE REGENT(Block 5),SHAN TONG RD|天鑽5座,山塘路",,,892.0,,,735.0,,,869.0,,
