,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_change,npsf_change
2019-12-15,5651638.7272727275,13162.09090909091,11,62168026.0,144783.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5915250.000000001,11950.0,495.0,5710298.0,13661.0,418.0,5454945.0,13469.0,405.0,5669892.0,13404.0,423.0,5525850.0,13002.0,425.0,5613220.0,13054.0,430.0,5927764.0,12172.0,487.0,5651152.0,13988.0,404.0,6180355.0,12743.0,485.0,4548354.0,14303.0,318.0,5970946.0,13037.0,458.0,-0.00033862855515554013,-0.0003383230225363354
2019-1-15,5247963.636363637,12221.727272727272,11,57727600.0,134439.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5490540.0,11092.0,495.0,5300658.0,12681.0,418.0,5073435.0,12527.0,405.0,5263389.0,12443.0,423.0,5129325.0,12069.0,425.0,5200420.0,12094.0,430.0,5513813.999999999,11322.0,487.0,5245940.0,12985.0,404.0,5739005.0,11833.0,485.0,4222404.0,13278.0,318.0,5548670.0,12115.0,458.0,0.05635922669606308,0.05636226486257123
2018-12-15,4967972.545454546,11569.636363636364,11,54647698.0,127266.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5197500.0,10500.0,495.0,5017671.999999999,12004.0,418.0,4803705.0,11861.0,405.0,4982094.0,11778.0,423.0,4855625.0,11425.0,425.0,4921780.0,11446.0,430.0,5220640.0,10720.0,487.0,4965968.0,12292.0,404.0,5432970.0,11202.0,485.0,3996942.0,12569.0,318.0,5252802.000000001,11469.0,458.0,-0.027696342309998623,-0.0276947994896517
2018-11-15,5109486.636363637,11899.181818181818,11,56204353.0,130891.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5345505.0,10799.0,495.0,5160210.0,12345.0,418.0,4941405.000000001,12201.0,405.0,5123799.0,12113.0,423.0,4993750.0,11750.0,425.0,5060670.0,11769.0,430.0,5370149.0,11027.0,487.0,5107368.0,12642.0,404.0,5587685.0,11521.0,485.0,4110786.0,12927.0,318.0,5403026.0,11797.0,458.0,-0.05119239335367509,-0.05119134777786638
2018-10-15,5385166.181818182,12541.181818181818,11,59236828.0,137953.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5633595.0,11381.0,495.0,5438598.0,13011.0,418.0,5209110.0,12862.0,405.0,5400441.0,12767.0,423.0,5263200.0,12384.0,425.0,5332430.0,12401.0,430.0,5660888.0,11624.0,487.0,5382492.000000001,13323.0,404.0,5888870.0,12142.0,485.0,4332432.0,13624.0,318.0,5694772.000000001,12434.0,458.0,-0.021855969165347044,-0.02185273159144896
2018-9-15,5505494.090909091,12821.363636363636,11,60560435.0,141035.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",5759325.0,11635.0,495.0,5559818.000000001,13301.0,418.0,5326155.0,13151.0,405.0,5520572.999999999,13051.0,423.0,5380500.0,12660.0,425.0,5450250.0,12675.0,430.0,5788482.0,11886.0,487.0,5502883.999999999,13621.0,404.0,6020790.0,12414.0,485.0,4429104.0,13928.0,318.0,5822554.0,12713.0,458.0,-0.05475260918246927,-0.05475054288088799
2018-8-15,5824394.909090909,13564.0,11,64068344.0,149204.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",6092955.0,12309.0,495.0,5881678.0,14071.0,418.0,5635980.0,13916.0,405.0,5840361.0,13807.0,423.0,5692025.0,13393.0,425.0,5764580.0,13406.0,430.0,6124512.0,12576.0,487.0,5821236.0,14409.0,404.0,6369505.0,13133.0,485.0,4685412.0,14734.0,318.0,6160100.0,13450.0,458.0,0.0030108637635575253,0.0030116432278362026
2018-7-15,5806911.090909091,13523.272727272728,11,63876022.0,148756.0,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",6074145.0,12271.0,495.0,5864122.0,14029.0,418.0,5619780.0,13876.0,405.0,5822595.0,13765.0,423.0,5674600.0,13352.0,425.0,5746090.0,13363.0,430.0,6107467.0,12541.0,487.0,5803460.0,14365.0,404.0,6350105.0,13093.0,485.0,4671420.0,14690.0,318.0,6142238.0,13411.0,458.0,,
2018-6-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2018-5-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2018-4-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2018-3-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2018-2-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2018-1-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2017-12-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2017-11-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2017-10-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2017-9-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2017-8-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2017-7-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2017-6-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2017-5-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2017-4-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2017-3-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2017-2-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2017-1-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2016-12-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2016-11-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2016-10-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2016-9-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2016-8-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2016-7-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2016-6-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2016-5-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2016-4-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2016-3-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2016-2-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
2016-1-15,,,11,,,4748,"WETLAND SEASONS PARK(Block 17),WETLAND PARK RD|WETLAND SEASONS PARK17座,濕地公園路",,,495.0,,,418.0,,,405.0,,,423.0,,,425.0,,,430.0,,,487.0,,,404.0,,,485.0,,,318.0,,,458.0,,
