,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,8507500.6,14944.6,5,42537503.0,74723.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12019135.0,15311.0,785.0,7073621.999999999,13551.0,522.0,7463820.0,13670.0,546.0,9201676.0,14113.0,652.0,6779250.0,18078.0,375.0,-0.049907997150807515,-0.049905909876919896
2018-12-15,8092107.8,14146.8,5,40460539.0,70734.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",11659605.0,14853.0,785.0,6731190.0,12895.0,522.0,7099638.0,13003.0,546.0,8771356.0,13453.0,652.0,6198750.0,16530.0,375.0,-0.03537232546771718,-0.03538845477232744
2018-11-15,8388840.6,14665.8,5,41944203.0,73329.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12085075.0,15395.0,785.0,6978096.000000001,13368.0,522.0,7359534.0,13479.0,546.0,9094748.0,13949.0,652.0,6426750.0,17138.0,375.0,0.03332111899680634,0.03331219615303316
2018-10-15,8118328.8,14193.0,5,40591644.0,70965.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",11694145.0,14897.0,785.0,6752592.0,12936.0,522.0,7121478.0,13043.0,546.0,8803304.0,13502.0,652.0,6220125.0,16587.0,375.0,-0.10742046584167864,-0.10743708101173477
2018-9-15,9095356.2,15901.4,5,45476781.0,79507.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",13099295.0,16687.0,785.0,7564824.0,14492.0,522.0,7978152.0,14612.0,546.0,9864760.0,15130.0,652.0,6969750.0,18586.0,375.0,0.0017263380689471752,0.0017134721749756388
2018-8-15,9079681.6,15874.2,5,45398408.0,79371.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",13074960.0,16656.0,785.0,7551774.0,14467.0,522.0,7963410.0,14585.0,546.0,9849764.0,15107.0,652.0,6958500.0,18556.0,375.0,0.006959599120205828,0.00693951080889077
2018-7-15,9016927.4,15764.8,5,45084637.0,78824.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12982330.0,16538.0,785.0,7499051.999999999,14366.0,522.0,7907718.0,14483.0,546.0,9783911.999999998,15006.0,652.0,6911625.0,18431.0,375.0,0.01499043872884398,0.014975341548524979
2018-6-15,8883756.0,15532.2,5,44418780.0,77661.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12788435.0,16291.0,785.0,7387866.0,14153.0,522.0,7790328.0,14268.0,546.0,9641776.0,14788.0,652.0,6810375.0,18161.0,375.0,0.02571919507696685,0.025701644324110262
2018-5-15,8661002.0,15143.0,5,43305010.0,75715.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12465800.0,15880.0,785.0,7202556.0,13798.0,522.0,7594314.0,13909.0,546.0,9401840.0,14420.0,652.0,6640499.999999999,17708.0,375.0,0.002886009068329365,0.002874248324458817
2018-4-15,8636078.2,15099.6,5,43180391.0,75498.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",12428120.0,15832.0,785.0,7181154.0,13757.0,522.0,7571928.000000001,13868.0,546.0,9377064.0,14382.0,652.0,6622125.0,17659.0,375.0,0.03774512571226274,0.03773040286998475
2018-3-15,8321964.6,14550.6,5,41609823.0,72753.0,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",11974390.0,15254.0,785.0,6919632.0,13256.0,522.0,7295652.0,13362.0,546.0,9038024.0,13862.0,652.0,6382125.0,17019.0,375.0,,
2018-2-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2018-1-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-12-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-11-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-10-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-9-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-8-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-7-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-6-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-5-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-4-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-3-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-2-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2017-1-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-12-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-11-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-10-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-9-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-8-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-7-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-6-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-5-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-4-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-3-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-2-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
2016-1-15,,,5,,,2880,"GRAND MARINI(LOHAS PARK),Block 2B,Phase IXB,1 LOHAS PARK RD|GRAND MARINI(日出康城),第IXB期,第2B座,1 康城路",,,785.0,,,522.0,,,546.0,,,652.0,,,375.0,,
