,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,11577219.8,15509.6,5,57886099.0,77548.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",19199726.0,18011.0,1066.0,7742652.0,14052.0,551.0,8038092.0,14457.0,556.0,9895716.0,13977.0,708.0,13009913.0,17051.0,763.0,-0.03910407788452663,-0.03910586835844565
2018-12-15,11598479.6,15536.2,5,57992398.0,77681.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",19128304.0,17944.0,1066.0,7715653.000000001,14003.0,551.0,8002508.0,14393.0,556.0,9876600.0,13950.0,708.0,13269333.0,17391.0,763.0,-0.007733082441686023,-0.007728073985131423
2018-11-15,11688870.6,15657.2,5,58444353.0,78286.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",19277544.0,18084.0,1066.0,7775712.0,14112.0,551.0,8064224.0,14504.0,556.0,9953772.0,14059.0,708.0,13373101.0,17527.0,763.0,-0.05777917778397179,-0.058519338079661365
2018-10-15,12405659.4,16630.4,5,62028297.0,83152.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",20413900.0,19150.0,1066.0,8371894.0,15194.0,551.0,8539048.0,15358.0,556.0,10541412.0,14889.0,708.0,14162043.0,18561.0,763.0,0.02449737427971277,0.020583000920527894
2018-9-15,12109020.2,16295.0,5,60545101.0,81475.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",19626126.0,18411.0,1066.0,8421484.0,15284.0,551.0,8457872.0,15212.0,556.0,10423884.0,14723.0,708.0,13615735.0,17845.0,763.0,0.03519094500695985,0.03736949325184624
2018-8-15,11697378.4,15708.0,5,58486892.0,78540.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",20193238.0,18943.0,1066.0,8325609.999999999,15110.0,551.0,8490676.0,15271.0,556.0,10484064.0,14808.0,708.0,10993304.0,14408.0,763.0,-0.04908769675533242,-0.04908346853282319
2018-7-15,12301216.8,16518.8,5,61506084.0,82594.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",21235786.0,19921.0,1066.0,8755390.0,15890.0,551.0,8928248.0,16058.0,556.0,11025684.0,15573.0,708.0,11560976.0,15152.0,763.0,0.02814836909924412,0.028158143703630012
2018-6-15,11964437.4,16066.4,5,59822187.0,80332.0,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",20654816.0,19376.0,1066.0,8515705.0,15455.0,551.0,8682496.0,15616.0,556.0,10724076.0,15147.0,708.0,11245094.0,14738.0,763.0,,
2018-5-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2018-4-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2018-3-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2018-2-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2018-1-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2017-12-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2017-11-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2017-10-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2017-9-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2017-8-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2017-7-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2017-6-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2017-5-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2017-4-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2017-3-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2017-2-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2017-1-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2016-12-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2016-11-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2016-10-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2016-9-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2016-8-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2016-7-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2016-6-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2016-5-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2016-4-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2016-3-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2016-2-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
2016-1-15,,,5,,,3644,"POGGIBONSI(DISCOVERY BAY),Block 5,Phase 16,3 BAYSIDE DR|意堤(愉景灣),第16期,第5座,3 堤畔徑",,,1066.0,,,551.0,,,556.0,,,708.0,,,763.0,,
