,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,18786141.0,17193.333333333332,3,56358423.0,51580.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19370010.0,16346.0,1185.0,17166718.0,18619.0,922.0,19821695.0,16615.0,1193.0,-0.020463176762261392,-0.02047172319495627
2019-1-15,18527852.666666668,16958.666666666668,3,55583558.0,50876.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19093905.0,16113.0,1185.0,16951892.0,18386.0,922.0,19537761.0,16377.0,1193.0,0.056626317644919766,0.056614745586708315
2018-12-15,17534915.0,16050.0,3,52604745.0,48150.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",18070065.0,15249.0,1185.0,16045566.000000002,17403.0,922.0,18489114.0,15498.0,1193.0,-0.058107164558115154,-0.058117016490287665
2018-11-15,18616677.333333332,17040.333333333332,3,55850032.0,51121.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19183965.0,16189.0,1185.0,17037638.0,18479.0,922.0,19628429.0,16453.0,1193.0,-0.01855344138634929,-0.018564736599600784
2018-10-15,18968610.333333332,17362.666666666668,3,56905831.0,52088.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19545390.0,16494.0,1185.0,17362182.0,18831.0,922.0,19998259.0,16763.0,1193.0,0.024314943022064606,0.024305828679304753
2018-9-15,18518338.0,16950.666666666668,3,55555014.0,50852.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19080870.0,16102.0,1185.0,16951892.0,18386.0,922.0,19522252.0,16364.0,1193.0,-0.03456018218907431,-0.03457179199969629
2018-8-15,19181245.333333332,17557.666666666668,3,57543736.0,52673.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19762245.0,16677.0,1185.0,17561334.0,19047.0,922.0,20220157.0,16949.0,1193.0,-0.006177550897927042,-0.006188562479953141
2018-7-15,19300475.0,17667.0,3,57901425.0,53001.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19884300.0,16780.0,1185.0,17672896.0,19168.0,922.0,20344229.0,17053.0,1193.0,-0.022076411041873856,-0.02208568581866488
2018-6-15,19736179.0,18066.0,3,59208537.0,54198.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",20332230.000000004,17158.0,1185.0,18073966.0,19603.0,922.0,20802341.0,17437.0,1193.0,0.018026494927434245,0.018013110689532263
2018-5-15,19386704.666666668,17746.333333333332,3,58160114.0,53239.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19970805.0,16853.0,1185.0,17756798.0,19259.0,922.0,20432511.0,17127.0,1193.0,0.001782621830505926,0.0017687458839024117
2018-4-15,19352207.0,17715.0,3,58056621.0,53145.0,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",19934070.0,16822.0,1185.0,17728216.0,19228.0,922.0,20394335.0,17095.0,1193.0,,
2018-3-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2018-2-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2018-1-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2017-12-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2017-11-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2017-10-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2017-9-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2017-8-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2017-7-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2017-6-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2017-5-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2017-4-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2017-3-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2017-2-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2017-1-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2016-12-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2016-11-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2016-10-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2016-9-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2016-8-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2016-7-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2016-6-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2016-5-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2016-4-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2016-3-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2016-2-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
2016-1-15,,,3,,,3300,"THE ENTRANCE(Block 3),LOK WO SHA LANE|峻源3座,落禾沙里",,,1185.0,,,922.0,,,1193.0,,
