,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_CD,npsf_CD,nfa_CD,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,28960029.375,21145.375,8,231680235,169163,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",15597028.0,18094.0,862.0,60592046.0,25642.0,2363.0,11855160.0,21954.0,540.0,17230752.0,19536.0,882.0,91814499.0,28701.0,3199.0,13078800.0,18900.0,692.0,8641245.0,17817.0,485.0,12870705.0,18519.0,695.0,-0.17355016846460702,-0.17441996661818826
2018-12-15,31808714.875,23467.375,8,254469719,187739,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",17458948.0,20254.0,862.0,66650778.0,28206.0,2363.0,13280760.0,24594.0,540.0,19256706.0,21833.0,882.0,99089025.0,30975.0,3199.0,14588052.0,21081.0,692.0,9717945.0,20037.0,485.0,14427505.0,20759.0,695.0,-0.007752562140553865,-0.008487108256841958
2018-11-15,32057240.625,23668.25,8,256457925,189346,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",17487394.0,20287.0,862.0,66757113.0,28251.0,2363.0,13303440.0,24636.0,540.0,19285812.0,21866.0,882.0,100365426.0,31374.0,3199.0,14608120.0,21110.0,692.0,10198095.0,21027.0,485.0,14452525.0,20795.0,695.0,-0.0848571911232342,-0.07979938376602547
2018-10-15,35029768.375,25720.75,8,280238147,205766,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",18926934.0,21957.0,862.0,72251088.0,30576.0,2363.0,14399640.0,26666.0,540.0,20871648.0,23664.0,882.0,111299608.0,34792.0,3199.0,15806664.0,22842.0,692.0,11038115.0,22759.0,485.0,15644450.0,22510.0,695.0,,
2018-9-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2018-8-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2018-7-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2018-6-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2018-5-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2018-4-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2018-3-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2018-2-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2018-1-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-12-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-11-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-10-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-9-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-8-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-7-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-6-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-5-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-4-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-3-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-2-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-1-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-12-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-11-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-10-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-9-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-8-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-7-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-6-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-5-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-4-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-3-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-2-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-1-15,,,8,,,9718,"ISLAND GDN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
