,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_E,npsf_E,nfa_E,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,14794723.2,31897.0,5,73973616.0,159485.0,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",20219259.000000004,34921.0,579.0,16111007.999999998,30864.0,522.0,10164240.0,29720.0,342.0,10902147.0,32937.0,331.0,16576962.0,31043.0,534.0,-0.02357059544419282,-0.023577166087084267
2017-10-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2017-9-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2017-8-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2017-7-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2017-6-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2017-5-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2017-4-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2017-3-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2017-2-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2017-1-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2016-12-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2016-11-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2016-10-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2016-9-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2016-8-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2016-7-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2016-6-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2016-5-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2016-4-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2016-3-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2016-2-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
2016-1-15,,,5,,,2308,"128 WATERLOO,WATERLOO RD|128 WATERLOO,窩打老道",,,579.0,,,522.0,,,342.0,,,331.0,,,534.0,,
