,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,10122575.75,14665.75,4,40490303.0,58663.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11132500.0,15250.0,730.0,12219594.0,15142.0,807.0,9976680.0,13320.0,749.0,7161529.0,14951.0,479.0,-0.04993652525366665,-0.049945746352049514
2019-1-15,10008537.5,14500.75,4,40034150.0,58003.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11003290.0,15073.0,730.0,12076755.0,14965.0,807.0,9872569.0,13181.0,749.0,7081535.999999999,14784.0,479.0,0.039966878293444585,0.0399648581776455
2018-12-15,9623900.25,13943.5,4,38495601.0,55774.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",10579890.0,14493.0,730.0,11611922.999999998,14389.0,807.0,9494324.0,12676.0,749.0,6809464.0,14216.0,479.0,-0.03521859545208217,-0.03521882027330914
2018-11-15,9975213.25,14452.5,4,39900853.0,57810.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",10965330.0,15021.0,730.0,12035598.0,14914.0,807.0,9841860.0,13140.0,749.0,7058065.0,14735.0,479.0,0.033446428978896714,0.033447147785981235
2018-10-15,9652375.75,13984.75,4,38609503.0,55939.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",10609820.0,14534.0,730.0,11645817.0,14431.0,807.0,9524284.0,12716.0,749.0,6829582.0,14258.0,479.0,-0.10726250720864172,-0.1072614107883817
2018-9-15,10812109.75,15665.0,4,43248439.0,62660.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11883670.0,16279.0,730.0,13045155.0,16165.0,807.0,10669505.0,14245.0,749.0,7650109.0,15971.0,479.0,0.001870426397776015,0.001870712949490816
2018-8-15,10791924.25,15635.75,4,43167697.0,62543.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11861040.0,16248.0,730.0,13020138.0,16134.0,807.0,10650780.0,14220.0,749.0,7635739.0,15941.0,479.0,0.007122417489654698,0.007117437722419906
2018-7-15,10715603.25,15525.25,4,42862413.0,62101.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11776360.0,16132.0,730.0,12927333.0,16019.0,807.0,10576629.0,14121.0,749.0,7582091.0,15829.0,479.0,0.015148136969358017,0.015153496583515835
2018-6-15,10555704.0,15293.5,4,42222816.0,61174.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11599700.0,15890.0,730.0,12734460.0,15780.0,807.0,10420088.0,13912.0,749.0,7468568.0,15592.0,479.0,0.025878526055200135,0.025875802854220087
2018-5-15,10289428.75,14907.75,4,41157715.0,59631.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11306240.0,15488.0,730.0,12412467.0,15381.0,807.0,10158687.0,13563.0,749.0,7280321.0,15199.0,479.0,0.0030571545475923667,0.0030614476273780333
2018-4-15,10258068.25,14862.25,4,41032273.0,59449.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",11271199.999999998,15440.0,730.0,12374538.0,15334.0,807.0,10128727.0,13523.0,749.0,7257808.0,15152.0,479.0,0.03792585486659328,0.0379209804982803
2018-3-15,9883238.0,14319.25,4,39532952.0,57277.0,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",10858750.0,14875.0,730.0,11921811.0,14773.0,807.0,9759470.0,13030.0,749.0,6992921.0,14599.0,479.0,,
2018-2-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2018-1-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-12-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-11-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-10-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-9-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-8-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-7-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-6-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-5-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-4-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-3-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-2-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2017-1-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-12-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-11-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-10-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-9-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-8-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-7-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-6-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-5-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-4-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-3-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-2-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
2016-1-15,,,4,,,2765,"GRAND MARINI(Block 2A,Phase IXB,LOHAS PARK),1 LOHAS PARK RD|日出康城,IXB期,2A座(GRAND MARINI),1 康城路",,,730.0,,,807.0,,,749.0,,,479.0,,
