,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",41704698.0,23982.0,1739.0,39582648.0,23394.0,1692.0,,,1103.0,,
2018-2-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2018-1-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2017-12-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2017-11-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2017-10-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2017-9-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2017-8-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2017-7-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2017-6-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2017-5-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2017-4-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2017-3-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2017-2-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2017-1-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2016-12-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2016-11-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2016-10-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2016-9-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2016-8-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2016-7-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2016-6-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2016-5-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2016-4-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2016-3-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2016-2-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
2016-1-15,,,3,,,4534,"ONTOLO(Block 3),FO YIN RD|朗濤3座,科研路",,,1739.0,,,1692.0,,,1103.0,,
