,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_AB,npsf_AB,nfa_AB,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_CD,npsf_CD,nfa_CD,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2019-12-15,29021080.625,21093.25,8,232168645.0,168746.0,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",15595304.0,18092.0,862.0,60944133.0,25791.0,2363.0,11462040.0,21226.0,540.0,17228106.0,19533.0,882.0,92348732.0,28868.0,3199.0,13078800.0,18900.0,692.0,8642215.0,17819.0,485.0,12869315.0,18517.0,695.0,-0.17336768984953543,-0.17429917746015744
2018-6-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",18909470.397119742,17382.0,862.0,87700398.25389208,29408.0,2363.0,14439630.440032603,21188.0,540.0,20736262.503777295,18629.0,882.0,,,3199.0,15456196.819405667,17698.0,692.0,11093488.724937612,18124.0,485.0,15046929.327409096,17155.0,695.0,,
2018-5-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",18420428.240074143,17029.0,862.0,85450734.3514955,28817.0,2363.0,14065032.273832902,20756.0,540.0,20203654.938653473,18254.0,882.0,,,3199.0,15062905.369331727,17346.0,692.0,10806627.608908791,17756.0,485.0,14660737.88601744,16810.0,695.0,,
2018-4-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",18992366.033679478,16949.0,862.0,,,2363.0,14500692.24906651,20657.0,540.0,20835265.524119016,18172.0,882.0,,,3199.0,15537332.14961718,17272.0,692.0,11142425.583212752,17673.0,485.0,15117721.547670398,16733.0,695.0,,
2018-3-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2018-2-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2018-1-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-12-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-11-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-10-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-9-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-8-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-7-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-6-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-5-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-4-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-3-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-2-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2017-1-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-12-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-11-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-10-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-9-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-8-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-7-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-6-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-5-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-4-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-3-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-2-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
2016-1-15,,,8,,,9718,"ISLAND GARDEN(Block 3),CHAI WAN RD|香島3座,柴灣道",,,862.0,,,2363.0,,,540.0,,,882.0,,,3199.0,,,692.0,,,485.0,,,695.0,,
