,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,14074683.333333334,13245.0,3,42224050.0,39735.0,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",16513950.0,13350.0,1237.0,16776408.0,13189.0,1272.0,8933692.0,13196.0,677.0,-0.00030172744645340366,-0.00030190957808140517
2019-1-15,13064857.666666666,12294.666666666666,3,39194573.0,36884.0,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",15328904.0,12392.0,1237.0,15573096.0,12243.0,1272.0,8292573.0,12249.0,677.0,0.05637358132225989,0.05636384465574529
2018-12-15,12367649.0,11638.666666666666,3,37102947.0,34916.0,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",14511247.0,11731.0,1237.0,14741208.0,11589.0,1272.0,7850492.0,11596.0,677.0,,
2018-11-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2018-10-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2018-9-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2018-8-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2018-7-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2018-6-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2018-5-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2018-4-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2018-3-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2018-2-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2018-1-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2017-12-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2017-11-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2017-10-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2017-9-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2017-8-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2017-7-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2017-6-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2017-5-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2017-4-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2017-3-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2017-2-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2017-1-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2016-12-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2016-11-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2016-10-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2016-9-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2016-8-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2016-7-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2016-6-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2016-5-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2016-4-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2016-3-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2016-2-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
2016-1-15,,,3,,,3186,"WETLAND SEASONS PARK(Phase 2),Block V3,WETLAND PARK RD|WETLAND SEASONS PARK2期,V3座,濕地公園路",,,1237.0,,,1272.0,,,677.0,,
