,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_change,npsf_change
2019-12-15,20561833.875,26236.25,8,164494671.0,209890.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",33270592.0,31036.0,1072.0,19743280.0,25978.0,760.0,16286158.0,24751.0,658.0,15972327.0,24311.0,657.0,32052639.0,30153.0,1063.0,23781024.0,27912.0,852.0,12513435.0,23045.0,543.0,10875216.0,22704.0,479.0,-0.01774877385548279,-0.01820086911371921
2019-1-15,19969790.0,25497.625,8,159758320.0,203981.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",32121408.0,29964.0,1072.0,19209000.0,25275.0,760.0,15846614.0,24083.0,658.0,15741720.0,23960.0,657.0,31205428.0,29356.0,1063.0,22902612.0,26881.0,852.0,12168630.0,22410.0,543.0,10562908.0,22052.0,479.0,0.04247862522768808,0.04247990228395904
2018-12-15,19156066.625,24458.625,8,153248533.0,195669.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",30812495.999999996,28743.0,1072.0,18425440.0,24244.0,760.0,15201116.000000002,23102.0,658.0,15100488.0,22984.0,657.0,29935143.0,28161.0,1063.0,21968820.0,25785.0,852.0,11671785.000000002,21495.0,543.0,10133245.0,21155.0,479.0,-0.07168123880596622,-0.07167764983845482
2018-11-15,20635225.125,26347.125,8,165081801.0,210777.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",33190192.0,30961.0,1072.0,19848160.0,26116.0,760.0,16374330.0,24885.0,658.0,16266663.0,24759.0,657.0,32249294.0,30338.0,1063.0,23665152.000000004,27776.0,852.0,12572079.0,23153.0,543.0,10915931.000000002,22789.0,479.0,0.028284011038272938,0.028371112694060452
2018-10-15,20067632.0,25620.25,8,160541056.0,204962.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",32290784.0,30122.0,1072.0,19310080.0,25408.0,760.0,15861090.0,24105.0,658.0,15826473.0,24089.0,657.0,31377634.0,29518.0,1063.0,23023596.0,27023.0,852.0,12230532.0,22524.0,543.0,10620867.0,22173.0,479.0,-0.042834781581240766,-0.042832992425303806
2018-9-15,20965692.875,26766.75,8,167725543.0,214134.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",33734768.0,31469.0,1072.0,20173440.0,26544.0,760.0,16571072.0,25184.0,658.0,16535376.0,25168.0,657.0,32783983.0,30841.0,1063.0,24053664.0,28232.0,852.0,12776247.0,23529.0,543.0,11096993.0,23167.0,479.0,-0.04958966403872611,-0.04934961154273032
2018-8-15,22059622.125,28156.25,8,176476977.0,225250.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",35633280.0,33240.0,1072.0,21133320.0,27807.0,760.0,17428446.0,26487.0,658.0,17391447.0,26471.0,657.0,34483720.0,32440.0,1063.0,25298436.0,29693.0,852.0,13436535.0,24745.0,543.0,11671793.0,24367.0,479.0,-0.000990823721630174,-0.0009004093979676497
2018-7-15,22081501.0,28181.625,8,176652008.0,225453.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",35628992.0,33236.0,1072.0,21131040.0,27804.0,760.0,17426472.0,26484.0,658.0,17390133.0,26469.0,657.0,34482657.0,32439.0,1063.0,25487580.0,29915.0,852.0,13433820.0,24740.0,543.0,11671314.0,24366.0,479.0,0.0383845339751443,0.0383892629814202
2018-6-15,21265244.5,27139.75,8,170121956.0,217118.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",34310432.0,32006.0,1072.0,20349000.0,26775.0,760.0,16781632.0,25504.0,658.0,16746930.0,25490.0,657.0,33209183.0,31241.0,1063.0,24548676.0,28813.0,852.0,12935889.0,23823.0,543.0,11240214.0,23466.0,479.0,0.0010402472689265974,0.0014067422156420761
2018-5-15,21243146.375,27101.625,8,169945171.0,216813.0,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",34120688.0,31829.0,1072.0,20235760.0,26626.0,760.0,16688854.0,25363.0,658.0,16654950.0,25350.0,657.0,33028473.0,31071.0,1063.0,25174896.0,29548.0,852.0,12863127.0,23689.0,543.0,11178423.0,23337.0,479.0,,
2018-4-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2018-3-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2018-2-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2018-1-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2017-12-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2017-11-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2017-10-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2017-9-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2017-8-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2017-7-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2017-6-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2017-5-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2017-4-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2017-3-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2017-2-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2017-1-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2016-12-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2016-11-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2016-10-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2016-9-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2016-8-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2016-7-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2016-6-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2016-5-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2016-4-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2016-3-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2016-2-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
2016-1-15,,,8,,,6084,"UPPER RIVERBANK(Block 1),MUK TAI ST|尚．珒溋1座,沐泰街",,,1072.0,,,760.0,,,658.0,,,657.0,,,1063.0,,,852.0,,,543.0,,,479.0,,
