,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,11986659.0,12272.0,3,35959977.0,36816.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12568632.0,9881.0,1272.0,9629685.0,12555.0,767.0,13761660.0,14380.0,957.0,-0.0002977980210497888,-0.0002986938930675809
2018-9-15,11647209.0,11938.666666666666,3,34941627.0,35816.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12118344.0,9527.0,1272.0,9427197.0,12291.0,767.0,13396086.0,13998.0,957.0,-0.0547190722891977,-0.05471244952360843
2018-8-15,12321426.0,12629.666666666666,3,36964278.0,37889.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",12820488.0,10079.0,1272.0,9972534.0,13002.0,767.0,14171256.0,14808.0,957.0,-0.13336732722332667,-0.11067035959064886
2018-7-15,14217587.666666666,14201.333333333334,3,42652763.0,42604.0,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",17893224.0,14067.0,1272.0,10295441.0,13423.0,767.0,14464098.0,15114.0,957.0,,
2018-6-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2018-5-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2018-4-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2018-3-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2018-2-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2018-1-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2017-12-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2017-11-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2017-10-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2017-9-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2017-8-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2017-7-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2017-6-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2017-5-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2017-4-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2017-3-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2017-2-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2017-1-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2016-12-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2016-11-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2016-10-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2016-9-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2016-8-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2016-7-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2016-6-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2016-5-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2016-4-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2016-3-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2016-2-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
2016-1-15,,,3,,,2996,"WETLAND SEASONS PARK(Block V10),WETLAND PARK RD|WETLAND SEASONS PARKV10座,濕地公園路",,,1272.0,,,767.0,,,957.0,,
