,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A4,npsf_A4,nfa_A4,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B4,npsf_B4,nfa_B4,lumpSum_C1,npsf_C1,nfa_C1,lumpSum_C2,npsf_C2,nfa_C2,lumpSum_change,npsf_change
2016-1-15,14855029.875,10875.0,8,118840239.0,87000,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",18628974.0,11934.0,1561.0,17789442.0,11719.0,1518.0,17789442.0,11719.0,1518.0,18197136.0,11824.0,1539.0,12242106.0,10151.0,1206.0,12113064.0,10044.0,1206.0,11707921.0,10067.0,1163.0,10372154.0,9542.0,1087.0,-0.02149889567265917,-0.02151541394396772
2017-3-15,16250876.0,11903.0,8,130007008.0,95224,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",20319537.0,13017.0,1561.0,19395486.0,12777.0,1518.0,19395486.0,12777.0,1518.0,19843866.0,12894.0,1539.0,13302180.0,11030.0,1206.0,13302180.0,11030.0,1206.0,13182605.0,11335.0,1163.0,11265668.0,10364.0,1087.0,-0.031782945898083614,-0.030956790751633267
2017-4-15,16784331.5,12283.25,8,134274652.0,98266,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",21089110.0,13510.0,1561.0,20130198.0,13261.0,1518.0,20130198.0,13261.0,1518.0,20596437.0,13383.0,1539.0,13806288.0,11448.0,1206.0,13806288.0,11448.0,1206.0,13023274.0,11198.0,1163.0,11692859.0,10757.0,1087.0,-0.008016268826536943,-0.008015344235816624
2017-5-15,16919966.5,12382.5,8,135359732.0,99060,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",21260820.0,13620.0,1561.0,20292624.0,13368.0,1518.0,20292624.0,13368.0,1518.0,20762649.0,13491.0,1539.0,13917240.0,11540.0,1206.0,13917240.0,11540.0,1206.0,13129107.0,11289.0,1163.0,11787428.0,10844.0,1087.0,-0.052129361013619646,-0.05212998047996331
2017-6-15,17850501.75,13063.5,8,142804014.0,104508,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",22430009.0,14369.0,1561.0,21408354.0,14103.0,1518.0,21408354.0,14103.0,1518.0,21904587.0,14233.0,1539.0,14683050.0,12175.0,1206.0,14683050.0,12175.0,1206.0,13851330.0,11910.0,1163.0,12435280.0,11440.0,1087.0,0.030004307287694543,0.030000788456989724
2017-7-15,17330511.75,12683.0,8,138644094.0,101464,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",21775950.0,13950.0,1561.0,20784456.0,13692.0,1518.0,20784456.0,13692.0,1518.0,21265902.0,13818.0,1539.0,14256126.0,11821.0,1206.0,14256126.0,11821.0,1206.0,13447769.0,11563.0,1163.0,12073309.0,11107.0,1087.0,0.005037762504628507,0.005041850329354558
2017-8-15,17243642.375,12619.375,8,137949139.0,100955,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",21666680.0,13880.0,1561.0,20681232.0,13624.0,1518.0,20681232.0,13624.0,1518.0,21159711.0,13749.0,1539.0,14183766.0,11761.0,1206.0,14183766.0,11761.0,1206.0,13380315.0,11505.0,1163.0,12012437.0,11051.0,1087.0,0.03870622282428826,0.03870649120821468
2017-9-15,16601077.375,12149.125,8,132808619.0,97193,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",20859643.0,13363.0,1561.0,19910088.0,13116.0,1518.0,19910088.0,13116.0,1518.0,20371743.0,13237.0,1539.0,13655538.0,11323.0,1206.0,13655538.0,11323.0,1206.0,12881388.0,11076.0,1163.0,11564593.0,10639.0,1087.0,-0.033288873815903064,-0.033290232743186765
2017-10-15,17172738.5,12567.5,8,137381908.0,100540,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",21577703.0,13823.0,1561.0,20596224.0,13568.0,1518.0,20596224.0,13568.0,1518.0,21071988.0,13692.0,1539.0,14125878.0,11713.0,1206.0,14125878.0,11713.0,1206.0,13324491.0,11457.0,1163.0,11963522.0,11006.0,1087.0,-0.03383625403221657,-0.03383592316045392
2017-11-15,17774149.125,13007.625,8,142193193.0,104061,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",22333227.0,14307.0,1561.0,21317274.0,14043.0,1518.0,21317274.0,14043.0,1518.0,21810708.0,14172.0,1539.0,14620338.0,12123.0,1206.0,14620338.0,12123.0,1206.0,13792017.0,11859.0,1163.0,12382017.0,11391.0,1087.0,-0.004258343884708582,-0.0042581287198820705
2017-12-15,17850161.25,13063.25,8,142801290.0,104506,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",22428448.0,14368.0,1561.0,21408354.0,14103.0,1518.0,21408354.0,14103.0,1518.0,21904587.0,14233.0,1539.0,14683050.0,12175.0,1206.0,14683050.0,12175.0,1206.0,13850167.0,11909.0,1163.0,12435280.0,11440.0,1087.0,-0.021944671622225465,-0.021946448793179307
2018-1-15,18250666.125,13356.375,8,146005329.0,106851,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",22932651.0,14691.0,1561.0,21888042.0,14419.0,1518.0,21888042.0,14419.0,1518.0,22395528.0,14552.0,1539.0,15012288.0,12448.0,1206.0,15012288.0,12448.0,1206.0,14161851.0,12177.0,1163.0,12714639.0,11697.0,1087.0,-0.008648681371957623,-0.008647003701882539
2018-2-15,18409887.375,13472.875,8,147279099.0,107783,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",23132459.0,14819.0,1561.0,22079310.0,14545.0,1518.0,22079310.0,14545.0,1518.0,22590981.0,14679.0,1539.0,15143742.0,12557.0,1206.0,15143742.0,12557.0,1206.0,14285129.0,12283.0,1163.0,12824426.0,11798.0,1087.0,-3.8591902600026984e-05,-3.711022665076058e-05
2018-3-15,18410597.875,13473.375,8,147284783.0,107787,10798.0,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",23134020.0,14820.0,1561.0,22080828.0,14546.0,1518.0,22080828.0,14546.0,1518.0,22590981.0,14679.0,1539.0,15143742.0,12557.0,1206.0,15143742.0,12557.0,1206.0,14285129.0,12283.0,1163.0,12825513.0,11799.0,1087.0,,
2018-4-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,15592374.0,12929.0,1206.0,,,,,,,,
2018-5-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,15978294.0,13249.0,1206.0,,,,,,,,
2018-6-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,16335270.0,13545.0,1206.0,,,,,,,,
2018-7-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,16775460.0,13910.0,1206.0,,,,,,,,
2018-8-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,17039574.0,14129.0,1206.0,,,,,,,,
2018-9-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,16202610.0,13435.0,1206.0,,,,,,,,
2018-10-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,16153164.0,13394.0,1206.0,,,,,,,,
2018-11-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,14288688.0,11848.0,1206.0,,,,,,,,
2018-12-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,14541948.0,12058.0,1206.0,,,,,,,,
2019-1-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,14522652.0,12042.0,1206.0,,,,,,,,
2019-2-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,15541722.0,12887.0,1206.0,,,,,,,,
2019-3-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,15567048.0,12908.0,1206.0,,,,,,,,
2019-4-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2019-5-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2019-6-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2019-7-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2019-8-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2019-9-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2020-2-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2020-3-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2020-4-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2020-5-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2020-6-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2020-7-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2020-8-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2020-9-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2021-2-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2021-3-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2021-4-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2021-5-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2021-6-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2021-7-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2021-8-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2021-9-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2022-1-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2022-2-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2022-3-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2022-4-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2022-5-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2022-6-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2022-7-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2022-8-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2022-9-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-15,,,8,,,,"ELEGANCE HSE,KING'S RD|怡景大廈,英皇道",,,,,,,,,,,,,,,,,,,,,,,,,,
