,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,24194438.0,22725.666666666668,3,72583314.0,68177.0,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",31441718.0,23429.0,1342.0,28859596.0,21748.0,1327.0,12282000.0,23000.0,534.0,-0.017010534530492394,-0.01702759595144021
2019-1-15,23089273.666666668,22234.333333333332,3,69267821.0,66703.0,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",27939098.0,20819.0,1342.0,28157613.0,21219.0,1327.0,13171110.000000002,24665.0,534.0,0.04229512993609874,0.042120393082006435
2018-12-15,22152337.666666668,21335.666666666668,3,66457013.0,64007.0,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",26799740.0,19970.0,1342.0,27011084.999999996,20355.0,1327.0,12646188.0,23682.0,534.0,-0.09150782467560337,-0.09238251893026284
2018-11-15,24383630.666666668,23507.333333333332,3,73150892.0,70522.0,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",30067510.0,22405.0,1342.0,29098456.0,21928.0,1327.0,13984926.0,26189.0,534.0,-0.052831704100722576,-0.036176522844374115
2018-10-15,25743715.0,24389.666666666668,3,77231145.0,73169.0,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",31689988.0,23614.0,1342.0,31926293.0,24059.0,1327.0,13614864.0,25496.0,534.0,,
2018-9-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2018-8-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2018-7-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2018-6-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2018-5-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2018-4-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2018-3-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2018-2-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2018-1-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2017-12-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2017-11-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2017-10-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2017-9-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2017-8-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2017-7-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2017-6-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2017-5-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2017-4-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2017-3-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2017-2-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2017-1-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2016-12-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2016-11-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2016-10-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2016-9-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2016-8-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2016-7-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2016-6-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2016-5-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2016-4-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2016-3-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2016-2-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
2016-1-15,,,3,,,3203,"CULLINAN WEST(Block 2A),SHAM MONG RD|匯璽2A座,深旺道",,,1342.0,,,1327.0,,,534.0,,
