,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_change,npsf_change
2019-12-15,10821410.333333334,11626.333333333334,3,32464231.0,34879.0,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9916271.0,10583.0,937.0,11079020.0,12095.0,916.0,11468940.0,12201.0,940.0,0.008413940540157316,0.008413322539609025
2019-1-15,10697894.666666666,11493.666666666666,3,32093684.0,34481.0,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9804768.0,10464.0,937.0,10956276.0,11961.0,916.0,11332640.0,12056.0,940.0,0.011084231070337847,0.011084068850247819
2018-12-15,10580616.666666666,11367.666666666666,3,31741850.0,34103.0,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",9697950.0,10350.0,937.0,10836280.0,11830.0,916.0,11207620.0,11923.0,940.0,,
2018-11-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2018-10-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2018-9-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2018-8-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2018-7-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2018-6-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2018-5-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2018-4-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2018-3-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2018-2-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2018-1-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-12-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-11-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-10-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-9-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-8-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-7-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-6-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-5-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-4-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-3-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-2-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2017-1-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-12-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-11-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-10-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-9-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-8-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-7-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-6-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-5-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-4-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-3-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-2-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
2016-1-15,,,3,,,2793,"CRESCENT GREEN(Block 6),KO PO PATH|山水盈6座,高埔徑",,,937.0,,,916.0,,,940.0,,
