,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_F,npsf_F,nfa_F,lumpSum_change,npsf_change
2016-1-15,4030845.4,8860.4,5,20154227.0,44302,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",5258871.0,9579.0,549.0,5141000.0,9700.0,530.0,3152358.0,8613.0,366.0,3533511.0,8049.0,439.0,3068487.0,8361.0,367.0,0.034689959472276044,0.02437106918238996
2017-10-15,4494108.2,10010.4,5,22470541.0,50052,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",4986018.0,9082.0,549.0,5728240.0,10808.0,530.0,3813354.0,10419.0,366.0,4251276.0,9684.0,439.0,3691653.0,10059.0,367.0,-0.033854895808467234,-0.03385708219125205
2017-11-15,4651587.2,10361.2,5,23257936.0,51806,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",5160051.0,9399.0,549.0,5929640.0,11188.0,530.0,3946944.0,10784.0,366.0,4400097.0,10023.0,439.0,3821204.0,10412.0,367.0,0.034447857822405226,0.028325294269437862
2017-12-15,4496686.0,10075.8,5,22483430.0,50379,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",5182011.0,9439.0,549.0,5080580.0,9586.0,530.0,3964146.0,10831.0,366.0,4418974.0,10066.0,439.0,3837719.0,10457.0,367.0,-0.0285220102551339,-0.029212833606320543
2018-1-15,4628706.0,10379.0,5,23143530.0,51895,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",5310477.0,9673.0,549.0,5217850.0,9845.0,530.0,4153368.0,11348.0,366.0,4537504.0,10336.0,439.0,3924331.0,10693.0,367.0,-0.008604166080337317,-0.008615749054369126
2018-2-15,4668877.8,10469.2,5,23344389.0,52346,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",5356044.0,9756.0,549.0,5262900.0,9930.0,530.0,4189602.0,11447.0,366.0,4577014.0,10426.0,439.0,3958829.0,10787.0,367.0,-1.9704560950462024e-05,-3.8205853136630274e-05
2018-3-15,4668969.8,10469.6,5,23344849.0,52348,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",5355495.0,9755.0,549.0,5262370.0,9929.0,530.0,4189968.0,11448.0,366.0,4577453.0,10427.0,439.0,3959563.0,10789.0,367.0,-0.028713487015194716,-0.028721983078521585
2018-4-15,4806995.4,10779.2,5,24034977.0,53896,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",5513607.0,10043.0,549.0,5417660.0,10222.0,530.0,4314042.0,11787.0,366.0,4712665.0,10735.0,439.0,4077003.0,11109.0,367.0,-0.024107432008624752,-0.024118200912580545
2018-5-15,4925742.4,11045.6,5,24628712.0,55228,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",5649210.0,10290.0,549.0,5551220.0,10474.0,530.0,4420548.0,12078.0,366.0,4829439.0,11001.0,439.0,4178295.0,11385.0,367.0,-0.021805310409361844,-0.02182075805880268
2018-6-15,5035544.0,11292.0,5,25177720.0,56460,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",5774931.0,10519.0,549.0,5674180.0,10706.0,530.0,4519368.0,12348.0,366.0,4936994.0,11246.0,439.0,4272247.0,11641.0,367.0,-0.026220855627920425,-0.02623273141201432
2018-7-15,5171135.6,11596.2,5,25855678.0,57981,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",5929749.0,10801.0,549.0,5826820.0,10994.0,530.0,4641246.0,12681.0,366.0,5070011.0,11549.0,439.0,4387852.0,11956.0,367.0,-0.015468748911208752,-0.015485711374866207
2018-8-15,5252383.4,11778.6,5,26261917.0,58893,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",6022530.0,10970.0,549.0,5917450.0,11165.0,530.0,4714446.0,12881.0,366.0,5149909.0,11731.0,439.0,4457582.0,12146.0,367.0,0.051694542279960176,0.05167949427668361
2018-9-15,4994210.0,11199.8,5,24971050.0,55999,2251.0,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",5726070.0,10430.0,549.0,5625950.0,10615.0,530.0,4482768.0,12248.0,366.0,4897045.0,11155.0,439.0,4239217.0,11551.0,367.0,,
2018-10-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2018-11-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2018-12-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2019-1-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2019-2-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2019-3-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2019-4-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2019-5-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2019-6-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2019-7-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2019-8-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2019-9-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2019-10-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2019-11-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2019-12-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2020-1-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2020-2-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2020-3-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2020-4-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2020-5-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2020-6-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2020-7-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2020-8-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2020-9-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2020-10-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2020-11-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2020-12-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2021-1-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2021-2-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",6328323.0,11527.0,549.0,6151180.0,11606.0,530.0,,,,5259220.0,11980.0,439.0,4480703.0,12209.0,367.0,,
2021-3-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",6480396.0,11804.0,549.0,6298520.0,11884.0,530.0,,,,5385652.0,12268.0,439.0,4587867.0,12501.0,367.0,,
2021-4-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",6451299.0,11751.0,549.0,6269900.0,11830.0,530.0,,,,5361068.0,12212.0,439.0,4567315.0,12445.0,367.0,,
2021-5-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2021-6-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2021-7-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2021-8-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2021-9-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2021-10-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2021-11-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2021-12-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2022-1-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2022-2-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2022-3-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2022-4-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2022-5-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2022-6-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2022-7-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2022-8-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2022-9-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2022-10-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2022-11-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
2022-12-15,,,5,,,,"FORT MANSION,FORT ST|堡壘大樓,堡壘街",,,,,,,,,,,,,,,,,
