,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_20,npsf_20,nfa_20,lumpSum_21,npsf_21,nfa_21,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,lumpSum_change,npsf_change
2019-12-15,2549653.0476190476,6883.285714285715,21,53542714.0,144549.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3190915.0,7013.0,455.0,1967742.0,6693.0,294.0,3045048.0,7148.0,426.0,2819510.0,6794.0,415.0,2907905.0,7007.0,415.0,2903976.0,6849.0,424.0,2713863.0,7123.0,381.0,2683442.9999999995,7233.0,371.0,2645230.0,7130.0,371.0,2710053.0,7113.0,381.0,2607976.0,6653.0,392.0,3180904.9999999995,6991.0,455.0,2636901.0,6921.0,381.0,2650617.0,6957.0,381.0,1849680.0,6606.0,280.0,1822980.0,6605.0,276.0,2677056.0,7008.0,382.0,2893818.0,6793.0,426.0,1859027.0,6569.0,283.0,1906288.0,6736.0,283.0,1869781.0,6607.0,283.0,-0.020383444272852436,-0.02038534261336289
2019-1-15,2512422.9523809524,6782.761904761905,21,52760882.0,142438.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3144050.0,6910.0,455.0,1938929.9999999998,6595.0,294.0,3001596.0,7046.0,426.0,2778009.9999999995,6694.0,415.0,2865160.0,6904.0,415.0,2861152.0,6748.0,424.0,2674239.0,7019.0,381.0,2644488.0,7128.0,371.0,2607017.0,7027.0,371.0,2670048.0,7008.0,381.0,2569952.0,6556.0,392.0,3134039.9999999995,6888.0,455.0,2598801.0,6821.0,381.0,2614422.0,6862.0,381.0,1822520.0,6509.0,280.0,1795932.0,6507.0,276.0,2636564.0,6902.0,382.0,2851217.9999999995,6693.0,426.0,1831859.0000000002,6473.0,283.0,1878554.0,6638.0,283.0,1842329.9999999998,6510.0,283.0,0.05670548131769526,0.056708755582592696
2018-12-15,2377600.0,6418.761904761905,21,49929600.0,134794.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",2975245.0,6539.0,455.0,1834854.0,6241.0,294.0,2840568.0,6668.0,426.0,2629025.0,6335.0,415.0,2711610.0,6534.0,415.0,2707664.0,6386.0,424.0,2530602.0,6642.0,381.0,2502766.0,6746.0,371.0,2467150.0,6650.0,371.0,2526792.0,6632.0,381.0,2431968.0,6204.0,392.0,2965690.0,6518.0,455.0,2459355.0,6455.0,381.0,2474214.0,6494.0,381.0,1724520.0,6159.0,280.0,1699608.0,6158.0,276.0,2495224.0,6532.0,382.0,2698284.0,6334.0,426.0,1733375.0,6125.0,283.0,1777523.0,6281.0,283.0,1743563.0,6161.0,283.0,-0.05794636624757621,-0.05792482632336704
2018-11-15,2523847.8095238097,6813.428571428572,21,53000804.0,143082.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3158610.0,6942.0,455.0,1947750.0,6625.0,294.0,3015654.0,7079.0,426.0,2790875.0,6725.0,415.0,2878440.0,6936.0,415.0,2874296.0,6779.0,424.0,2686431.0,7051.0,381.0,2656731.0,7161.0,371.0,2619259.9999999995,7060.0,371.0,2682621.0000000005,7041.0,381.0,2581712.0,6586.0,392.0,3148600.0,6920.0,455.0,2610612.0,6852.0,381.0,2626614.0,6894.0,381.0,1830640.0,6538.0,280.0,1804212.0,6537.0,276.0,2648788.0,6934.0,382.0,2864423.9999999995,6724.0,426.0,1836670.0,6490.0,283.0,1887044.0,6668.0,283.0,1850820.0,6540.0,283.0,-0.01845297089684983,-0.018466941978679374
2018-10-15,2571295.8571428573,6941.619047619048,21,53997213.0,145774.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3217760.0,7072.0,455.0,1974210.0,6715.0,294.0,3072738.0,7213.0,426.0,2843165.0,6851.0,415.0,2932390.0,7066.0,415.0,2928144.0,6906.0,424.0,2736722.9999999995,7183.0,381.0,2706816.0,7296.0,371.0,2668603.0,7193.0,371.0,2732913.0,7173.0,381.0,2630320.0,6710.0,392.0,3207750.0,7050.0,455.0,2659761.0,6981.0,381.0,2676524.9999999995,7025.0,381.0,1875160.0,6697.0,280.0,1838160.0,6660.0,276.0,2698447.9999999995,7064.0,382.0,2918100.0,6850.0,426.0,1871196.0,6612.0,283.0,1922702.0,6794.0,283.0,1885629.0,6663.0,283.0,0.024451621161686976,0.024449207632032177
2018-9-15,2509924.1428571427,6775.952380952381,21,52708407.0,142295.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3141320.0,6904.0,455.0,1927170.0000000002,6555.0,294.0,2999466.0,7041.0,426.0,2775520.0,6688.0,415.0,2862670.0,6898.0,415.0,2855640.0,6735.0,424.0,2671571.9999999995,7012.0,381.0,2642261.9999999995,7122.0,371.0,2605162.0,7022.0,371.0,2667762.0,7002.0,381.0,2567600.0,6550.0,392.0,3131310.0,6882.0,455.0,2596515.0,6815.0,381.0,2612898.0,6858.0,381.0,1830360.0,6537.0,280.0,1794275.9999999998,6501.0,276.0,2634272.0,6896.0,382.0,2848662.0,6687.0,426.0,1826482.0,6454.0,283.0,1876856.0,6632.0,283.0,1840632.0,6504.0,283.0,-0.03463835454326836,-0.034679492832769165
2018-8-15,2599983.285714286,7019.380952380952,21,54599649.0,147407.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3253250.0,7150.0,455.0,1995965.9999999998,6789.0,294.0,3106392.0,7292.0,426.0,2874705.0,6927.0,415.0,2964759.9999999995,7144.0,415.0,2957400.0000000005,6975.0,424.0,2766822.0,7262.0,381.0,2736867.0,7377.0,371.0,2701251.0000000005,7281.0,371.0,2763012.0,7252.0,381.0,2659328.0,6784.0,392.0,3242785.0,7127.0,455.0,2689098.0,7058.0,381.0,2706242.9999999995,7103.0,381.0,1895880.0,6771.0,280.0,1858308.0,6733.0,276.0,2728244.0,7142.0,382.0,2950476.0,6926.0,426.0,1891855.0,6685.0,283.0,1943644.0,6868.0,283.0,1913363.0,6761.0,283.0,-0.006672258082615068,-0.00660435213327315
2018-7-15,2617447.5714285714,7066.047619047619,21,54966399.0,148387.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3273270.0,7194.0,455.0,2008314.0,6831.0,294.0,3125562.0,7337.0,426.0,2905830.0,7002.0,415.0,2983020.0,7188.0,415.0,2975632.0,7018.0,424.0,2783967.0,7307.0,381.0,2753562.0,7422.0,371.0,2708300.0,7300.0,371.0,2779776.0,7296.0,381.0,2675400.0,6825.0,392.0,3262805.0,7171.0,455.0,2705481.0000000005,7101.0,381.0,2723007.0,7147.0,381.0,1907360.0,6812.0,280.0,1869624.0,6774.0,276.0,2761096.0,7228.0,382.0,2980722.0,6997.0,426.0,1903175.0,6725.0,283.0,1955530.0,6910.0,283.0,1924966.0,6802.0,283.0,-0.021985766211634616,-0.022006775371393172
2018-6-15,2676287.8095238097,7225.047619047619,21,56202044.0,151726.0,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",3346980.0,7356.0,455.0,2053296.0,6984.0,294.0,3187758.0,7483.0,426.0,2970985.0,7159.0,415.0,3049835.0000000005,7349.0,415.0,3042200.0,7175.0,424.0,2839974.0,7454.0,381.0,2815519.0000000005,7589.0,371.0,2779161.0,7491.0,371.0,2842260.0,7460.0,381.0,2735767.9999999995,6979.0,392.0,3336060.0,7332.0,455.0,2766441.0,7261.0,381.0,2784729.0,7309.0,381.0,1950200.0,6965.0,280.0,1911576.0,6926.0,276.0,2827564.0,7402.0,382.0,3047604.0000000005,7154.0,426.0,1946191.0,6877.0,283.0,1999677.9999999998,7066.0,283.0,1968265.0,6955.0,283.0,,
2018-5-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2018-4-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2018-3-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2018-2-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2018-1-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2017-12-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2017-11-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2017-10-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2017-9-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2017-8-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2017-7-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2017-6-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2017-5-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2017-4-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2017-3-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2017-2-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2017-1-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2016-12-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2016-11-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2016-10-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2016-9-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2016-8-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2016-7-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2016-6-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2016-5-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2016-4-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
2016-3-15,,,21,,,7755,"KAM FAI COURT,HANG KIN ST|錦暉苑,恆健街",,,455.0,,,294.0,,,426.0,,,415.0,,,415.0,,,424.0,,,381.0,,,371.0,,,371.0,,,381.0,,,392.0,,,455.0,,,381.0,,,381.0,,,280.0,,,276.0,,,382.0,,,426.0,,,283.0,,,283.0,,,283.0,,
