,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_2,npsf_2,nfa_2,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_change,npsf_change
2019-12-15,2539631.6666666665,8054.666666666667,3,7618895.0,24164.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",2068495.0000000002,7865.0,263.0,2289260.0,7894.0,290.0,3261140.0,8405.0,388.0,-0.014457368452370223,-0.014398172696496236
2019-1-15,2334597.3333333335,7495.0,3,7003792.0,22485.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",2025626.0,7702.0,263.0,2241990.0,7731.0,290.0,2736176.0,7052.0,388.0,0.04959498577220067,0.04712895263819683
2018-12-15,2224284.0,7157.666666666667,3,6672852.0,21473.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",1919900.0,7300.0,263.0,2208060.0,7614.0,290.0,2544892.0,6559.0,388.0,-0.008811273510432205,-0.008816469719350017
2018-11-15,2244057.0,7221.333333333333,3,6732171.0,21664.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",1936995.0,7365.0,263.0,2227780.0,7682.0,290.0,2567396.0,6617.0,388.0,-0.016614440851708268,-0.016613708579210185
2018-10-15,2281970.6666666665,7343.333333333333,3,6845912.0,22030.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",1969870.0,7490.0,263.0,2265190.0,7811.0,290.0,2610852.0,6729.0,388.0,-0.038033167064282836,-0.03803327365617226
2018-9-15,2372192.6666666665,7633.666666666667,3,7116578.0,22901.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",2047718.0000000002,7786.0,263.0,2354800.0,8120.0,290.0,2714060.0,6995.0,388.0,-0.05672348045537645,-0.056718016311063546
2018-8-15,2514843.3333333335,8092.666666666667,3,7544530.0,24278.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",2170802.0,8254.0,263.0,2496320.0,8608.0,290.0,2877408.0,7416.0,388.0,0.003101765263287204,0.003098789406271951
2018-7-15,2507067.0,8067.666666666667,3,7521201.0,24203.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",2164227.0,8229.0,263.0,2488490.0,8581.0,290.0,2868484.0,7393.0,388.0,0.06620999905587444,0.06621145374449333
2018-6-15,2351382.0,7566.666666666667,3,7054146.0,22700.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",2029834.0000000002,7718.0,263.0,2333920.0,8048.0,290.0,2690392.0,6934.0,388.0,0.026359461648211457,0.026359813717954594
2018-5-15,2290992.6666666665,7372.333333333333,3,6872978.0,22117.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",1977760.0,7520.0,263.0,2273890.0,7841.0,290.0,2621328.0,6756.0,388.0,0.009402912694078891,0.009401670393865968
2018-4-15,2269651.3333333335,7303.666666666667,3,6808954.0,21911.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",1959350.0,7450.0,263.0,2252720.0,7768.0,290.0,2596884.0,6693.0,388.0,0.017979137042685833,0.017979929381156
2018-3-15,2229565.6666666665,7174.666666666667,3,6688697.0,21524.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",1924897.0,7319.0,263.0,2212700.0,7630.0,290.0,2551100.0,6575.0,388.0,0.012899340290838834,0.012894117647058945
2018-2-15,2201172.0,7083.333333333333,3,6603516.0,21250.0,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",1900438.0,7226.0,263.0,2184570.0,7533.0,290.0,2518508.0,6491.0,388.0,,
2018-1-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2017-12-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2017-11-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2017-10-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2017-9-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2017-8-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2017-7-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2017-6-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2017-5-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2017-4-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2017-3-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2017-2-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2017-1-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2016-12-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2016-11-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2016-10-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2016-9-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2016-8-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2016-7-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2016-6-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2016-5-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2016-4-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2016-3-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2016-2-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
2016-1-15,,,3,,,941,"HUNG SHUK CHUN BLDG,FUK WING ST|孔淑珍樓,福榮街",,,263.0,,,290.0,,,388.0,,
