,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,,,2,,,835,252 APLIU ST|252 鴨寮街,,,231.0,3382400.0,5600.0,604.0,,
2017-12-15,2126160.5,5204.5,2,4252321,10409,835,252 APLIU ST|252 鴨寮街,1260105.0,5455.0,231.0,2992216.0,4954.0,604.0,-0.005823396409217252,-0.0058261700095511015
2017-11-15,2138614.5,5235.0,2,4277229,10470,835,252 APLIU ST|252 鴨寮街,1267497.0,5487.0,231.0,3009732.0,4983.0,604.0,-0.029213943708771617,-0.029207232267037586
2017-10-15,2202972.0,5392.5,2,4405944,10785,835,252 APLIU ST|252 鴨寮街,1305612.0,5652.0,231.0,3100332.0,5133.0,604.0,0.06624990592148894,0.06623826000988631
2017-9-15,2066093.5,5057.5,2,4132187,10115,835,252 APLIU ST|252 鴨寮街,1224531.0,5301.0,231.0,2907656.0,4814.0,604.0,0.007088048462822183,0.007068896853843043
2017-8-15,2051552.0,5022.0,2,4103104,10044,835,252 APLIU ST|252 鴨寮街,1215984.0,5264.0,231.0,2887120.0,4780.0,604.0,-0.023016742111292343,-0.022957198443579796
2017-7-15,2099884.5,5140.0,2,4199769,10280,835,252 APLIU ST|252 鴨寮街,1244397.0,5387.0,231.0,2955372.0,4893.0,604.0,-0.04787739795064738,-0.047883671390201
2017-6-15,2205477.0,5398.5,2,4410954,10797,835,252 APLIU ST|252 鴨寮街,1306998.0,5658.0,231.0,3103956.0,5139.0,604.0,0.03353966071146974,0.033502440892122065
2017-5-15,2133906.5,5223.5,2,4267813,10447,835,252 APLIU ST|252 鴨寮街,1264725.0,5475.0,231.0,3003088.0,4972.0,604.0,0.023288015448777566,0.023312763248114488
2017-4-15,2085343.0,5104.5,2,4170686,10209,835,252 APLIU ST|252 鴨寮街,1235850.0,5350.0,231.0,2934836.0,4859.0,604.0,,
2017-3-15,,,2,,,835,252 APLIU ST|252 鴨寮街,1181796.0,5116.0,231.0,,,604.0,,
2017-2-15,,,2,,,835,252 APLIU ST|252 鴨寮街,1115268.0,4828.0,231.0,,,604.0,,
2017-1-15,,,2,,,835,252 APLIU ST|252 鴨寮街,1172556.0,5076.0,231.0,,,604.0,,
2016-12-15,,,2,,,835,252 APLIU ST|252 鴨寮街,1104642.0,4782.0,231.0,,,604.0,,
2016-11-15,,,2,,,835,252 APLIU ST|252 鴨寮街,1117578.0,4838.0,231.0,,,604.0,,
2016-10-15,,,2,,,835,252 APLIU ST|252 鴨寮街,1133748.0,4908.0,231.0,,,604.0,,
2016-9-15,,,2,,,835,252 APLIU ST|252 鴨寮街,1150611.0,4981.0,231.0,,,604.0,,
2016-8-15,,,2,,,835,252 APLIU ST|252 鴨寮街,1104873.0,4783.0,231.0,,,604.0,,
2016-7-15,,,2,,,835,252 APLIU ST|252 鴨寮街,1061907.0,4597.0,231.0,,,604.0,,
2016-6-15,,,2,,,835,252 APLIU ST|252 鴨寮街,1049433.0,4543.0,231.0,,,604.0,,
2016-5-15,,,2,,,835,252 APLIU ST|252 鴨寮街,1023099.0,4429.0,231.0,,,604.0,,
2016-4-15,,,2,,,835,252 APLIU ST|252 鴨寮街,1044582.0,4522.0,231.0,,,604.0,,
2016-3-15,,,2,,,835,252 APLIU ST|252 鴨寮街,1060752.0,4592.0,231.0,,,604.0,,
2016-2-15,,,2,,,835,252 APLIU ST|252 鴨寮街,1066989.0,4619.0,231.0,,,604.0,,
2016-1-15,,,2,,,835,252 APLIU ST|252 鴨寮街,1061445.0,4595.0,231.0,,,604.0,,
