,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_blank,npsf_blank,nfa_blank,lumpSum_change,npsf_change
2019-12-15,39243120.0,23030.0,1,39243120,23030,1704,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",39243120.0,23030.0,1704.0,-0.06446764431084206,-0.06446764431084206
2016-12-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,,,
2016-11-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,,,
2016-10-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,,,
2016-9-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,,,
2016-8-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,,,
2016-7-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,,,
2016-6-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,,,
2016-5-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,,,
2016-4-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,,,
2016-3-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,,,
2016-2-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,,,
2016-1-15,,,1,,,,"GOOD VIEW COURT,BRIAR AVE|blank,比雅道",,,,,
