,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,18106846.5,16946.0,2,36213693,33892,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",18224475.0,16953.0,1075.0,17989218.0,16939.0,1062.0,-0.0235949390760839,-0.023594825847713996
2018-11-15,18591414.5,17399.5,2,37182829,34799,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",18712525.0,17407.0,1075.0,18470304.0,17392.0,1062.0,,
2018-10-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2018-9-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2018-8-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2018-7-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2018-6-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2018-5-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2018-4-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2018-3-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2018-2-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2018-1-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2017-12-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2017-11-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2017-10-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2017-9-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2017-8-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2017-7-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2017-6-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2017-5-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2017-4-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2017-3-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2017-2-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2017-1-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2016-12-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2016-11-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2016-10-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2016-9-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2016-8-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2016-7-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2016-6-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2016-5-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2016-4-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2016-3-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2016-2-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
2016-1-15,,,2,,,2137,"GRAND COURT(Block 3),HO MAN TIN HILL RD|加林閣3座,何文田山道",,,1075.0,,,1062.0,,
