,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_change,npsf_change
2019-12-15,7262276.5,27862.3,10,72622765.0,278623.0,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",10366248.0,27208.0,381.0,6755384.0,26596.0,254.0,6885142.0,27214.0,253.0,7154250.0,28617.0,250.0,6666660.0,26455.0,252.0,7965936.0,28248.0,282.0,8327879.0,29017.0,287.0,5755958.0,26897.0,214.0,6631676.0,27179.0,244.0,6113632.0,31192.0,196.0,-0.07105276541744265,-0.07105229817226466
2019-1-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2018-12-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2018-11-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2018-10-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2018-9-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2018-8-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2018-7-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2018-6-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2018-5-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2018-4-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2018-3-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2018-2-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2018-1-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2017-12-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2017-11-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2017-10-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2017-9-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2017-8-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2017-7-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2017-6-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2017-5-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2017-4-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2017-3-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2017-2-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2017-1-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2016-12-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2016-11-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2016-10-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2016-9-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2016-8-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2016-7-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2016-6-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2016-5-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2016-4-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2016-3-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2016-2-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
2016-1-15,,,10,,,2613,"TWO．ARTLANE,CHUNG CHING ST|藝里坊．2號,忠正街",,,381.0,,,254.0,,,253.0,,,250.0,,,252.0,,,282.0,,,287.0,,,214.0,,,244.0,,,196.0,,
